query,citing_pmid,epmc_ranks,n_epmc,found_rank,sources
Purifying extracellular vesicles from cell culture using anion exchange chromatography to assess size distribution and tetraspanin marker profiles across elution fractions.,38312509,,0,7,"{""pubmed"": 1, ""protocols.io"": 9}"
Neodymium and strontium isotope ratios measured by TIMS in human third molars to assess geographic provenance for forensic or archaeological mobility studies.,34611535,,0,0,"{""pubmed"": 1, ""protocols.io"": 9}"
"Measuring strontium, oxygen, and carbon isotope variation within individual human third molars to assess caries effects and best sampling strategies for mobility and diet reconstruction.",32333689,,0,0,"{""pubmed"": 4, ""protocols.io"": 6}"
Molecular docking study identifying berberine derivatives as dual BRAF and CRAF inhibitors to overcome resistance in melanoma cancer treatment.,29565994,,0,0,"{""pubmed"": 5, ""protocols.io"": 5}"
Standardized four-wire method for accurately measuring heating coil resistance in e-cigarette devices to assess impact on aerosol emissions.,33114291,,0,0,"{""pubmed"": 1, ""protocols.io"": 9}"
Develop an online native HIC-MS method using ammonium tartrate mobile phase to separate and characterize drug-to-antibody ratio species in antibody-drug conjugates.,39722128,,0,0,"{""pubmed"": 5, ""protocols.io"": 5}"
Green synthesis of silver nanoparticles using trans-cinnamaldehyde to inhibit bacterial and fungal biofilms on catheters via iron chelation.,40988982,,0,8,"{""pubmed"": 3, ""protocols.io"": 7}"
Characterize drug-to-antibody ratio and conjugation sites on a cysteine-linked ADC using reduced subunit LC-FTICR-MS/MS without enzymatic digestion.,33108180,,0,2,"{""pubmed"": 1, ""protocols.io"": 9}"
How to use MCR-ALS with region-of-interest filtering to process untargeted LC-MS metabolomics data without chromatographic alignment?,31101001,,0,0,"{""pubmed"": 2, ""protocols.io"": 8}"
Comparing microwave-assisted versus standard Fmoc solid-phase peptide synthesis of a difficult 82-residue chimeric peptide on low-loading PEG resin to improve yield and reduce coupling time.,30400576,,0,4,"{""pubmed"": 1, ""protocols.io"": 9}"
Protocol for probing RNA secondary structure at single-nucleotide resolution using SHAPE-MaP chemistry combined with mutational profiling and deep sequencing for transcriptome-wide analysis.,26426499,,0,0,"{""pubmed"": 1, ""protocols.io"": 9}"
How is NMR-based metabolomics used to profile biofluids in children for identifying disease biomarkers and metabolic changes associated with pediatric conditions?,42485526,,0,4,"{""pubmed"": 4, ""protocols.io"": 6}"
Assessing heavy metal contamination and land capability classification of agricultural soils in Abu Dhabi using geochemical indices and multivariate statistics.,33923007,,0,1,"{""protocols.io"": 8}"
Remove a fusion tag from a membrane protein using nickel-assisted chemical cleavage instead of proteases.,30923372,,0,3,"{""pubmed"": 3, ""protocols.io"": 7}"
How do I transfer an analytical HPLC peptide purification method to preparative FPLC while maintaining high purity and correcting for system-specific gradient differences?,41667417,,0,0,"{""pubmed"": 2, ""protocols.io"": 8}"
How can I extract and identify lipid biomarkers using GC-MS from resin-impregnated sediment blocks used in archaeological micromorphology without interference from the polyester resin?,33239666,,0,0,"{""protocols.io"": 9, ""pubmed"": 1}"
How can I use combined SPR and mass spectrometry to study binding kinetics and identify ligand-target interactions simultaneously?,38762085,,0,3,"{""pubmed"": 2, ""protocols.io"": 8}"
"Boost secondary metabolites like phenolics, flavonoids, and essential oil compounds in holy basil using methyl jasmonate elicitation under controlled plant factory conditions.",40721503,,0,5,"{""protocols.io"": 10}"
How does manufacturing variability in coil resistance and pod mass affect coil lifespan and aerosol output in Vuse ALTO e-cigarette pods?,33924226,,0,2,"{""pubmed"": 5, ""protocols.io"": 5}"
"How are nitro-fatty acid-containing triacylglycerides formed, detected by mass spectrometry, and metabolized in adipocytes and rat plasma after nitro-oleic acid treatment?",26066303,,0,0,"{""pubmed"": 2, ""protocols.io"": 8}"
Analytical workflow combining LC-MS and data analysis to assess plasma stability and payload release of antibody-drug conjugate candidates during early drug development screening.,41514673,,0,1,"{""protocols.io"": 6, ""pubmed"": 4}"
Recovering and classifying novel archaeal viruses infecting marine Poseidoniales archaea from estuarine metagenomes using phylogenomics and genomic characterization.,39777783,,0,0,"{""pubmed"": 1, ""protocols.io"": 9}"
Using ZooMS to identify highly fragmented mammal and hominin bones from Denisova Cave to reconstruct Pleistocene faunal assemblages and understand bone fragmentation patterns.,34326389,,0,4,"{""protocols.io"": 7, ""pubmed"": 3}"
Solid-phase click chemistry synthesis of peptide-oligonucleotide conjugates using an activated alkyne linker and copper-catalyzed azide-alkyne cycloaddition.,21795380,,0,0,"{""pubmed"": 2, ""protocols.io"": 8}"
Searching for a cheminformatics/functional genomics pipeline to identify new drug candidates against Schistosoma using ChEMBL and ex vivo phenotypic screening to find praziquantel alternatives.,37242601,,0,0,"{""pubmed"": 5, ""protocols.io"": 5}"
Search for acylsugar structural diversity and biosynthetic enzyme characterization across Solanum species using LC-MS metabolite profiling and transcriptome analysis.,38748602,,0,0,"{""pubmed"": 4, ""protocols.io"": 6}"
Using ZooMS collagen fingerprinting to identify whether archaeological bone fragments from Iron Age eastern African islands are sheep or goat.,34350011,,0,2,"{""protocols.io"": 9, ""pubmed"": 1}"
"Comparing CDC bottle bioassay, caged field trials, and topical application methods to assess pyrethroid resistance in wild Culex pipiens mosquito populations.",40489419,,0,0,"{""pubmed"": 5, ""protocols.io"": 5}"
"How does the presence of Fab/c fragments affect IgG1 monoclonal antibody aggregation kinetics, and can SEC-native MS distinguish the resulting heterodimeric species?",38536719,,0,0,"{""pubmed"": 1, ""protocols.io"": 9}"
How do Hawaiian coral species like Porites and Montipora physiologically cope with chronic warming and acidification under Paris Agreement climate projections over a long-term outdoor experiment?,35273199,,0,7,"{""protocols.io"": 10}"
How do you build a matrix-matched tissue mimetic standard curve with serial homogenate freezing for quantitative imaging mass spectrometry using weighted least squares regression?,31251106,,0,0,"{""pubmed"": 2, ""protocols.io"": 8}"
Compare stability and payload release efficiency of multiple antibody-drug conjugate candidates in serum using LC-MS-based analytical workflows combined with automated data analysis pipelines.,41514673,,0,7,"{""protocols.io"": 7, ""pubmed"": 3}"
Identifying fragmented unidentifiable bovid bones from African archaeological sites using ZooMS collagen peptide fingerprinting to reconstruct Iron Age subsistence strategies.,34003857,,0,0,"{""pubmed"": 5, ""protocols.io"": 5}"
Measuring glycosphingolipid levels in plasma and CSF from free sialic acid storage disorder patients using HPLC to identify potential biomarkers.,39991440,,0,2,"{""pubmed"": 1, ""protocols.io"": 9}"
Find small molecule inhibitors that block ODC enzymatic activity and disrupt polyamine pathway protein-protein interactions simultaneously using computational screening combined with experimental validation.,32767470,,0,0,"{""protocols.io"": 10}"
"Comparing accuracy, precision, and temperature/salinity sensitivity of cheap capacitive and resistive soil moisture sensors for potential use in smallholder irrigation scheduling systems.",31936425,,0,2,"{""pubmed"": 3, ""protocols.io"": 7}"
"How much omega-3 fatty acid survives simulated gastrointestinal digestion in fish oil supplements, cooked fish, and enriched eggs, and does food matrix affect oxidation?",35056730,,0,0,"{""pubmed"": 3, ""protocols.io"": 7}"
Preparing terbinafine-loaded liposomes using ethanol injection to improve antifungal delivery against azole-resistant Aspergillus with reduced toxicity and brain-targeting potential.,41122127,,0,0,"{""pubmed"": 5, ""protocols.io"": 5}"
Microwave synthesis of PEG dimethacrylate macromers for making tunable hydrogels used in drug delivery and tissue engineering applications.,24193366,,0,0,"{""pubmed"": 1, ""protocols.io"": 9}"
Using ZooMS peptide mass fingerprinting to identify highly fragmented mammal bones from a Pleistocene cave site to reconstruct the faunal assemblage and understand hominin versus carnivore bone modification patterns.,34326389,,0,0,"{""pubmed"": 3, ""protocols.io"": 7}"
Comparing electron ionization versus chemical ionization modes on a GC-Orbitrap for untargeted metabolite annotation in human plasma reference material.,31978300,,0,2,"{""pubmed"": 1, ""protocols.io"": 9}"
Encapsulating Rhein in liposomes to improve its oral bioavailability and anticancer activity against breast cancer cells in rats.,40142971,,0,0,"{""protocols.io"": 8}"
"Isolating and characterizing endophytic fungi and bacteria from Angelica sinensis seeds, roots, stems, and leaves to assess their antimicrobial and antioxidant activities.",33013716,,0,0,"{""pubmed"": 2, ""protocols.io"": 8}"
Does stable isotope analysis of feathers and blood tissues reveal seasonal elevational migration in Hawaiian honeycreepers like apapane and amakihi?,32667954,,0,2,"{""pubmed"": 1, ""protocols.io"": 9}"
Reconstructing the seasonality and duration of Neanderthal site occupations in Middle Paleolithic Spain using hearth micromorphology and lipid biomarker analysis.,31017917,,0,0,"{""pubmed"": 2, ""protocols.io"": 8}"
"How do you use separation techniques to study labile and stable metal ion interactions with entire proteomes, including metallodrug-protein binding?",38254704,,0,0,"{""pubmed"": 4, ""protocols.io"": 6}"
Green synthesis of copper-doped zirconia nanoparticles using butterfly pea flower extract and testing their anticancer activity against cervical cancer cells.,42228293,,0,0,"{""pubmed"": 4, ""protocols.io"": 6}"
How do Klebsiella pneumoniae bacteria evolve resistance to phage cocktails in vitro and which phage combinations best minimize resistance emergence?,31992617,,0,0,"{""pubmed"": 4, ""protocols.io"": 6}"
Profiling lipid classes in porcine pulmonary artery tissue using supercritical fluid chromatography-mass spectrometry to optimize extraction methods for decellularization before transplantation.,30709622,,0,0,"{""pubmed"": 4, ""protocols.io"": 6}"
Compare EDC alone versus EDC/NHS crosslinking efficiency for immobilizing antibodies onto APTES-functionalized SPR chips and ELISA plates to detect human fetuin A.,26859395,,0,0,"{""pubmed"": 4, ""protocols.io"": 6}"
Detect citrullinated proteins on a western blot using phenylglyoxal chemistry instead of anti-citrulline antibodies.,25875038,,0,0,"{""pubmed"": 1, ""protocols.io"": 9}"
Compare MALDI MSI versus DIUTHAME matrix-free imaging for high-resolution lipid and metabolite mapping in tissue sections from multiple organisms.,34564440,,0,1,"{""protocols.io"": 7, ""pubmed"": 3}"
How does high salinity reduce coral bleaching in Aiptasia by affecting reactive oxygen species and osmolyte production in symbiotic algae?,31843766,,0,0,"{""pubmed"": 3, ""protocols.io"": 7}"
How do I use SIRIUS and Python to run untargeted LC-MS/MS metabolomics and identify differentially abundant metabolites between sample groups?,42570234,,0,1,"{""protocols.io"": 8, ""pubmed"": 2}"
Comparing electron ionization and chemical ionization modes on a GC-Orbitrap platform for untargeted metabolite annotation in human plasma reference material.,31978300,,0,0,"{""pubmed"": 3, ""protocols.io"": 7}"
Urine metabolomics using GC-MS to identify biomarkers and disrupted metabolic pathways in cannabis users compared to non-users.,41070685,,0,0,"{""pubmed"": 1, ""protocols.io"": 9}"
Map RNA secondary structure using RNase R-detected SHAPE instead of primer extension to analyze short RNAs or those with important terminal structures.,21979276,,0,0,"{""pubmed"": 4, ""protocols.io"": 6}"
Characterizing the microbial community and metabolite changes in naturally fermented Kerala red rice water using metagenomics and GC-MS to assess nutritional improvements like mineral bioavailability.,42028191,,0,0,"{""pubmed"": 3, ""protocols.io"": 7}"
PEGylated liposome formulation of kaempferol to improve bioavailability and pharmacokinetics for intravenous delivery in rats with hepatocellular carcinoma.,42098303,,0,0,"{""protocols.io"": 6, ""pubmed"": 4}"
Comparative genomics of dozens of parasitic and free-living nematode and flatworm genomes to identify gene families linked to parasitism and potential anthelmintic drug targets.,30397333,,0,0,"{""protocols.io"": 6, ""pubmed"": 4}"
"Reconstruct Bronze Age Kura-Araxes pastoral practices at a Caucasus site using zooarchaeology, ZooMS, and stable isotopes to understand herd mobility and livestock management.",41990003,,0,0,"{""protocols.io"": 8}"
Optimizing a blood microsampling extraction protocol for untargeted metabolomics covering polar and nonpolar metabolites using HILIC-MS and RPLC-MS from dried blood spots and VAMS.,41663828,,0,0,"{""pubmed"": 3, ""protocols.io"": 7}"
Compare antioxidant activity and functional properties like foaming and emulsification across different dried mango leaf cultivars for potential nutraceutical applications.,40871534,,0,0,"{""pubmed"": 2, ""protocols.io"": 8}"
Using an AI agent combining LC-MS/MS spectral analysis and LLMs to annotate unknown drug metabolite structures from public metabolomics repositories.,42395381,,0,0,"{""pubmed"": 4, ""protocols.io"": 6}"
How can I suppress dominant sugar signals in NMR-based metabolomics of plant or food samples to better detect low-abundance metabolites using a modified pulse sequence?,41519995,,0,7,"{""pubmed"": 2, ""protocols.io"": 8}"
Review synthesis strategies for dual-payload antibody-drug conjugates using orthogonal conjugation chemistry to overcome resistance and improve efficacy.,39481229,,0,0,"{""pubmed"": 4, ""protocols.io"": 6}"
"How do puff duration, flow rate, and device power affect aerosol emissions across different e-cigarette pod and pen products for regulatory substantial equivalence comparisons?",35206329,,0,0,"{""pubmed"": 3, ""protocols.io"": 7}"
Purifying site-specific antibody-drug conjugates to homogeneous DAR1 and DAR2 fractions using hydrophobic interaction chromatography with Fc-affinity conjugation technology.,32443479,,0,3,"{""pubmed"": 1, ""protocols.io"": 9}"
How do polysaccharides extracted from various microalgae and cyanobacteria affect defense enzyme activities and metabolite profiles in tomato plants under biotic stress?,33441599,,0,0,"{""pubmed"": 3, ""protocols.io"": 7}"
Screen unidentified bone fragments from Denisova Cave for hominin origin using collagen fingerprinting then confirm Denisovan or Neanderthal identity via ancient mitochondrial DNA sequencing.,34824388,,0,1,"{""protocols.io"": 8, ""pubmed"": 2}"
Meta-analysis comparing vancomycin trough concentrations versus AUC24 monitoring for predicting nephrotoxicity and treatment efficacy in hospitalized adults.,38927164,,0,2,"{""pubmed"": 5, ""protocols.io"": 5}"
Identify amino acids in fish embryos using untargeted LC-HRMS metabolomics with data-independent acquisition and multivariate curve resolution across both ionization modes simultaneously.,37587312,,0,6,"{""pubmed"": 2, ""protocols.io"": 8}"
"Measuring oxidative stress markers like GSH, TBARS, and catalase in thyroidectomy patients on levothyroxine suppression therapy with subclinical hyperthyroidism.",30462808,,0,0,"{""pubmed"": 1, ""protocols.io"": 9}"
Synthesizing antibody-drug conjugates with cyclodextrin or crown ether macrocycles in the linker to improve hydrophilicity and in vivo efficacy compared to standard PEGylated ADCs.,35784686,,0,0,"{""pubmed"": 1, ""protocols.io"": 9}"
Measuring urinary glycosaminoglycans using DMMB assay as a marker of endothelial glycocalyx damage and disease severity predictor in COVID-19 patients.,37629312,,0,2,"{""pubmed"": 4, ""protocols.io"": 6}"
Total synthesis of novofumigatamide constitutional isomers exploring different macrolactam ring connectivity and amino acid positional variants to determine the correct natural product structure.,36129245,,0,0,"{""pubmed"": 5, ""protocols.io"": 5}"
Mapping protein-protein interactions in live human cells using DSSO cross-linking mass spectrometry to identify chromatin complex interactions in situ.,31083951,,0,0,"{""pubmed"": 1, ""protocols.io"": 9}"
Predict drug-drug interactions using knowledge graph convolutional networks combined with neural factorization machines and molecular fingerprints for cancer combination therapy discovery.,36771157,,0,2,"{""pubmed"": 1, ""protocols.io"": 9}"
Synthesize a lipophilic ester of dihydrocaffeic acid using Candida antarctica lipase B esterification with myrtenol to improve antioxidant activity in oil-based systems.,42509827,,0,0,"{""pubmed"": 1, ""protocols.io"": 9}"
Molecularly imprinted SPR biosensor using graphitic carbon nitride nanocomposite to detect deoxynivalenol mycotoxin at trace levels in juice and drinking water samples.,41683068,,0,0,"{""pubmed"": 1, ""protocols.io"": 9}"
Does pinostrobin treatment reduce oxidative stress and improve sciatic nerve regeneration and DRG neuron survival in crush-injured rats?,36856256,,0,0,"{""pubmed"": 1, ""protocols.io"": 9}"
How do Symbiodiniaceae community shifts and physiological traits differ between bleached and unbleached Acropora muricata colonies in an extreme-environment lagoon versus a control reef using ITS2 sequencing?,38416713,,0,0,"{""protocols.io"": 6, ""pubmed"": 4}"
Characterizing proteome degradation and protease activity in Daphnia pulex protein extracts using 2D gel electrophoresis under different salinity conditions.,23027649,,0,0,"{""pubmed"": 2, ""protocols.io"": 8}"
Proteomics analysis of human brain tissue comparing rapidly progressive versus sporadic Alzheimer's disease to identify mitochondrial proteins involved in disease progression.,41254340,,0,0,"{""protocols.io"": 5, ""pubmed"": 5}"
How to use a macro domain fusion tag to crystallize a small flexible yeast protein domain that won't crystallize on its own?,27774698,,0,0,"{""protocols.io"": 7, ""pubmed"": 3}"
Fluorescence-based detection of lamotrigine in urine and tablets using nitrogen-doped carbon dots synthesized from plant material via microwave method.,42381635,,0,0,"{""pubmed"": 1, ""protocols.io"": 9}"
Identify which animal bones were used to make Paleolithic needles at a Paleoindian site using ZooMS and micro-CT scanning.,39602430,,0,1,"{""protocols.io"": 9, ""pubmed"": 1}"
"How do you remove TFA counterions from SPPS-synthesized peptides by exchanging them with chloride using HCl, and does this affect membrane permeability assays?",40872554,,0,0,"{""pubmed"": 1, ""protocols.io"": 9}"
Purifying ornithine decarboxylase from Aspergillus terreus to test inhibition kinetics by curcumin and other compounds as a model for human polyamine synthesis.,31362455,,0,0,"{""pubmed"": 3, ""protocols.io"": 7}"
How does the host plant species affect antioxidant activity and phenolic metabolite profiles in hemiparasitic mistletoe leaves and fruits using LC-MS and spectrophotometric assays?,41519840,,0,8,"{""pubmed"": 4, ""protocols.io"": 6}"
"Comparing antioxidant activity and phenolic/flavonoid composition of Tabebuia chrysantha leaves versus flowers from Ecuador using DPPH, ABTS, FRAP assays and LC-MS metabolite profiling.",40430468,,0,0,"{""pubmed"": 3, ""protocols.io"": 7}"
Identifying fragmented marsupial and monotreme bones from Australian archaeological sites using collagen fingerprinting mass spectrometry to develop new ZooMS peptide markers for genus-level taxonomic identification.,34729210,,0,0,"{""pubmed"": 2, ""protocols.io"": 8}"
"Model Tay-Sachs or Sandhoff disease in human iPSC-derived neurons to study GM2 accumulation, lysosomal dysfunction, and plasma membrane proteome changes.",40608809,,0,0,"{""pubmed"": 2, ""protocols.io"": 8}"
How does phosphoenolpyruvate competitively inhibit triosephosphate isomerase to redirect flux into the pentose phosphate pathway during oxidative stress in cancer cells?,24598263,,0,0,"{""pubmed"": 2, ""protocols.io"": 8}"
Characterizing the structural diversity and biosynthetic enzymes of acylsugars across Solanum species using LC-MS and transcriptome analysis to identify novel acyltransferases.,37333341,,0,0,"{""pubmed"": 3, ""protocols.io"": 7}"
Studying conformational dynamics and assembly of full-length SARS-CoV-2 nsp7:nsp8 complex using hydrogen-deuterium exchange and crosslinking mass spectrometry to understand RTC formation.,33688660,,0,0,"{""pubmed"": 5, ""protocols.io"": 5}"
"How does progesterone receptor isoform PR-A versus PR-B differentially recruit coactivators SRC3 and p300 on DNA, studied using structural mass spectrometry?",39606477,,0,0,"{""pubmed"": 2, ""protocols.io"": 8}"
How well does vat photopolymerization combined with PDMS casting perform for fabricating microfluidic master molds with small feature sizes and high aspect ratio microchannels?,38247957,,0,6,"{""pubmed"": 4, ""protocols.io"": 6}"
Fluorescent PLGA nanoparticles surface-modified with hyaluronic acid for targeted lymphatic vessel imaging in mice using near-infrared ICG.,40862687,,0,0,"{""pubmed"": 1, ""protocols.io"": 9}"
Purifying lumbrokinase from Pheretima earthworms using ammonium sulfate precipitation followed by hydrophobic and anion exchange chromatography to maximize fibrinolytic enzyme specific activity.,38878711,,0,0,"{""pubmed"": 1, ""protocols.io"": 9}"
