pmid,target_protocol_ids,queries_issued,candidate_urls,is_hit,hit_rank
26406119,121687,"[""PGBD5 transposase DNA transposition human cells protocols.io"", ""piggyBac transposon excision insertion TTAA protocol protocols.io"", ""PGBD5 transposase genomic DNA transposition protocol site:protocols.io"", ""protocols.io transposon excision insertion assay human cells HEK293 genomic PCR antibiotic selection""]","[""https://www.protocols.io/view/piggybac-transfection-ipsc-bu4anyse"", ""https://www.protocols.io/view/mammalian-calling-cards-quick-start-guide-81wgb14bovpk/v1"", ""https://www.protocols.io/view/transposase-injection-mix-protocol-4a6gshe.html"", ""https://www.protocols.io/view/indi-piggybac-to-hngn2-transfection-protocol-versi-q26g744b1gwz/v1"", ""https://www.protocols.io/view/cell-culture-transfection-of-hek293-with-cdna-and-14egnonpl5dy/v1"", ""https://www.protocols.io/view/culture-and-transfection-of-hek293t-cells-eq2lynkzpvx9/v1"", ""https://www.protocols.io/view/smrt-tag-direct-transposition-of-native-dna-for-se-cnxhvfj6""]",False,
37242601,122031,"[""schistosomiasis drug discovery praziquantel schistosomula ex vivo assay protocols.io"", ""protocols.io schistosome drug discovery ChEMBL phenotypic screening"", ""protocols.io schistosomula ex vivo anti-schistosomal assay adult worm egg production"", ""protocols.io \""Schistosoma mansoni\"" schistosomula phenotypic screening drug discovery protocol"", ""protocols.io \""schistosoma\"" \""schistosomula\"" \""adult worm\"" drug screening RNAi ChEMBL fimepinostat epoxomicin""]","[""https://www.protocols.io/view/schistosoma-mansoni-cercariae-transformation-witho-csavwae6.html"", ""https://www.protocols.io/view/schistosoma-mansoni-newly-transformed-schistosomul-bpvtmn6n"", ""https://www.protocols.io/view/schistosoma-mansoni-adult-worm-drug-screening-assay-bpwvmpn6"", ""https://www.protocols.io/view/schistosoma-mansoni-ex-vivo-adult-worm-drug-screen-n2bvj8n6"", ""https://www.protocols.io/view/schistosoma-mansoni-schistosomula-drug-screening-b-bpxvmpn6"", ""https://www.protocols.io/view/schistosoma-mansoni-egg-production-inhibition-assay-bqbvmsn6"", ""https://www.protocols.io/view/schistosoma-mansoni-cercariae-transformation-to-sc-brvtm8n6"", ""https://www.protocols.io/view/chembl-target-prediction-schistosome-drug-discover-bpzvmpn6"", ""https://www.protocols.io/view/schistosoma-mansoni-rnai-schistosomula-screening-bp2vmqn6"", ""https://www.protocols.io/view/schistosoma-mansoni-adult-worm-ex-vivo-culture-egg-bpwvmpn8""]",False,
28009756,121741,"[""auxiliary partial liver transplantation rat protocol protocols.io"", ""protocols.io retrorsine liver transplantation rat model"", ""protocols.io rat liver transplantation GFP transgenic immunofluorescence cell recruitment"", ""protocols.io auxiliary partial liver transplantation arterial anastomosis retrorsine GFP rat""]","[""https://www.protocols.io/view/surgical-model-of-auxiliary-partial-liver-transpla-3byl4w4wrvo5/v1""]",True,1
30940689,122070,"[""stLFR single-tube long fragment read protocol protocols.io"", ""stLFR cobarcoding library preparation protocol protocols.io"", ""stLFR whole genome sequencing library preparation BGI protocols.io site:protocols.io""]","[""https://www.protocols.io/view/stlfr-library-construction-bpwxmpfn"", ""https://www.protocols.io/view/stlfr-library-construction-14egnz2yyg5d/v1"", ""https://www.protocols.io/view/stlfr-library-construction-for-snake-genomes-n2bvj8z4xgk5/v1"", ""https://www.protocols.io/view/bgiseq-500-wgs-library-construction-ps5dng6"", ""https://www.protocols.io/view/bgiseq-500-library-construction-protocol-iamcac6"", ""https://www.protocols.io/view/massively-parallel-long-read-sequencing-of-single-8d9hs96"", ""https://www.protocols.io/view/whole-genome-sequencing-preparation-yxmvmyoq9v3p/v1"", ""https://www.protocols.io/view/sequencing-library-preparation-x54v9qk1l3eq/v1"", ""https://www.protocols.io/view/a-step-by-step-beginner-s-protocol-for-whole-genom-4xxgxpn"", ""https://www.protocols.io/view/multi-seq-barcoding-and-library-preparation-kxygx3xzkg8j/v1""]",False,
39237830,51194|55936,"[""DiMeLo-seq protocol protocols.io Altemose"", ""DiMeLo-seq directed methylation long-read sequencing protocols.io"", ""DiMeLo-seq Nanopore library preparation protocol protocols.io Altemose Maslan""]","[""https://www.protocols.io/view/dimelo-seq-directed-methylation-with-long-read-seq-b2u8qezw"", ""https://www.protocols.io/view/dimelo-seq-directed-methylation-with-long-read-seq-n2bvjxe4wlk5/v2"", ""https://www.protocols.io/view/dimelo-seq-directed-methylation-with-long-read-seq-n2bvjxe4wlk5"", ""https://www.protocols.io/view/dimelo-seq-directed-methylation-with-long-read-seq-bv8tn9wn"", ""https://www.protocols.io/view/cas9-enrichment-for-dimelo-sequencing-5jyl8p8n7g2w/v1"", ""https://www.protocols.io/view/alphahor-res-a-method-for-enriching-centromeric-dn-bv9vn966"", ""https://www.protocols.io/view/purification-and-activity-testing-for-nanobody-hia-g3iibykcf.html"", ""https://www.protocols.io/view/dna-extraction-and-nanopore-library-prep-from-15-3-bdfqi3mw"", ""https://www.protocols.io/view/sqk-map005-protocol-for-library-preparation-for-na-gvubw6w"", ""https://www.protocols.io/view/nanoseq-dna-library-preparation-protocol-eq2lyqomevx9/v1""]",True,1
29735996,122009,"[""C-BERST dCas9 APEX2 biotinylation genomic loci proteomics protocol protocols.io"", ""dCas9-APEX2 telomere centromere proteome mapping protocol protocols.io"", ""protocols.io C-BERST APEX2 streptavidin pulldown mass spectrometry genomic loci""]","[""https://www.protocols.io/view/mapping-subnuclear-proteomes-onto-genome-architect-81wgbreeolpk/v1"", ""https://www.protocols.io/view/apex2-labelling-and-screening-for-biotinylated-pro-dm6gpj8qjgzp/v1"", ""https://www.protocols.io/view/apex2-based-proximity-biotinylation-of-nlrp3-and-p-5qpvok55zl4o/v1"", ""https://www.protocols.io/view/axonal-proteome-analysis-and-western-blot-via-apex-g2rpbyd5p.html"", ""https://www.protocols.io/view/crispr-cas9-apex-mediated-proximity-labeling-glop-bkhzkf56"", ""https://www.protocols.io/view/apex2-proximity-labeling-biotinylation-streptavidi-zbdfi26"", ""https://www.protocols.io/view/dcas9-based-genomic-locus-proteomics-btpvnmn6"", ""https://www.protocols.io/view/apex2-based-proximity-labeling-in-mammalian-cells-bvt8n6rw"", ""https://www.protocols.io/view/proximity-labeling-apex2-biotin-phenol-streptavidi-x5xfq5n"", ""https://www.protocols.io/view/cas9-chromatin-associated-protein-identification-c-6qpvrop5zgmk/v1""]",True,1
41676688,44774,"[""C. elegans aggregation behavior protocol protocols.io"", ""protocols.io Caenorhabditis elegans collective behavior aggregation assay GWAS natural populations"", ""protocols.io Siyu Serena Ding C. elegans aggregation natural variation wild strains"", ""protocols.io \""C. elegans\"" \""aggregation\"" \""NGM\"" \""OP50\"" \""wild isolate\"" behavior assay worm imaging""]","[""https://www.protocols.io/view/fluorescence-aggregation-imaging-vx9e7r6"", ""https://www.protocols.io/view/fluorescence-aggregation-imaging-vx9e7r6.html"", ""https://www.protocols.io/view/bleach-synchronisation-of-c-elegans-2bzgap6"", ""https://www.protocols.io/view/bleach-life-stage-synchronization-of-c-elegans-dj264qhe.html"", ""https://www.protocols.io/view/worm-synchronization-protocol-bleaching-3byl4b5xovo5/v1"", ""https://www.protocols.io/view/sychronisation-of-c-elegans-jw2fcpgbp"", ""https://www.protocols.io/view/c-elegans-culture-and-maintenance-j8nlk8y6wl5r/v1"", ""https://www.protocols.io/view/chemical-ecology-in-the-classroom-chemotaxis-assay-c2c2yaye.html"", ""https://www.protocols.io/view/bleach-synchronisation-of-c-elegans-2bzgap6.html"", ""https://www.protocols.io/view/14egn514yg5d""]",False,
36460793,22144,"[""protocols.io scRNA-seq snRNA-seq colon liver parallel comparison"", ""protocols.io single nucleus RNA sequencing frozen tissue dissociation protocol"", ""protocols.io 10x Chromium single cell RNA sequencing fresh tissue dissociation colon liver"", ""protocols.io snRNA-seq nuclei isolation colon liver frozen tissue 10x Genomics""]","[""https://www.protocols.io/view/nuclei-isolation-from-fresh-frozen-human-colon-tis-5jyl8pn17g2w/v1"", ""https://www.protocols.io/view/protocol-for-nuclei-isolation-from-fresh-and-froze-bdeni3de/guidelines"", ""https://www.protocols.io/view/frankenstein-protocol-for-nuclei-isolation-from-f-n92ld98nxg5b/v1"", ""https://www.protocols.io/view/39-frankenstein-protocol-for-nuclei-isolation-fro-dm6gpwzqplzp/v2"", ""https://www.protocols.io/view/protocol-for-nuclei-isolation-from-fresh-and-froze-5jyl8m9edg2w/v2"", ""https://www.protocols.io/view/protocol-for-nuclei-isolation-from-fresh-and-froze-kqdg36ybzg25/v5"", ""https://www.protocols.io/view/human-liver-tissue-dissociation-for-10x-single-cel-vhue36w"", ""https://www.protocols.io/view/human-liver-caudate-lobe-dissociation-for-scrna-se-m9sc96e"", ""https://www.protocols.io/view/frozen-tissue-dissociation-for-single-nucleus-rna-5k5g4y6.html"", ""https://www.protocols.io/view/facs-nuclei-isolation-di474gzn.html""]",False,
41457950,259411,"[""protocols.io plasma p-tau217 immunoassay heterophilic antibody Alzheimer"", ""protocols.io phosphorylated tau 217 blood biomarker immunoassay protocol"", ""protocols.io p-tau217 heterophilic antibody immunoassay interference plasma"", ""protocols.io heterophilic antibody blocking immunoassay interference tau biomarker""]",[],False,
41053825,121607,"[""Parkinson's disease gut microbiome multi-omics meta-metabolomics metatranscriptomics protocol protocols.io"", ""protocols.io gut microbiome metagenomics metatranscriptomics metabolomics Parkinson's disease"", ""protocols.io metagenomics metatranscriptomics metaproteomics meta-metabolomics stool fecal integrated multi-omics microbiome"", ""protocols.io Expobiome iRBD Parkinson metatranscriptomics metaproteomics fecal microbiome"", ""protocols.io Vandeputte OR Raes OR Vieira-Silva gut microbiome metagenomics metatranscriptomics metaproteomics metabolomics fecal DNA RNA extraction""]","[""https://www.protocols.io/view/protocol-for-whole-shotgun-metagenomics-pipeline-f-5qpvo9ox7v4o/v1"", ""https://www.protocols.io/view/protocol-for-metagenomics-sampling-storage-and-seq-dckc2usw"", ""https://www.protocols.io/view/protocol-for-metagenomics-sampling-storage-and-seq-e6nvw15dwlmk/v1"", ""https://www.protocols.io/view/metagenomics-of-parkinsons-disease-implicates-the-gut-microbiome-kww2bixhp"", ""https://www.protocols.io/workspaces/glomicon"", ""https://www.protocols.io/view/fecal-dna-rna-co-extraction-for-integrated-metagenomics-metatranscriptomics-bpvfmn3n"", ""https://www.protocols.io/view/human-gut-metatranscriptomics-rna-extraction-and-sequencing-n2bvj6e6blk5/v1"", ""https://www.protocols.io/view/integrated-multi-omics-microbiome-sample-preparation-b2epqbe5"", ""https://www.protocols.io/view/fecal-metaproteomics-sample-preparation-and-lc-ms-ms-analysis-bcuuiuwe"", ""https://www.protocols.io/view/untargeted-fecal-metabolomics-nmr-and-lc-ms-for-gut-microbiome-studies-bp2l6xp5e""]",False,
