query,citing_pmid,citing_abstract,ground_truth_title,confirmed_protocol_ids,self_return_position,ground_truth_link,exact_match_position,top1_title,top1_sts_title_only,top1_sts_title_plus_desc,top1_sts_vs_source_paper,best_sts_title_only,best_sts_title_plus_desc,best_sts_vs_source_paper,best_sts_position,best_sts_title
Search query: does the human domesticated transposase gene PGBD5 retain active cut-and-paste DNA transposition activity in human cells?,26406119,"Transposons are mobile genetic elements that are found in nearly all organisms, including humans. Mobilization of DNA transposons by transposase enzymes can cause genomic rearrangements, but our knowledge of human genes derived from transposases is limited. Here, we find that the protein encoded by human PGBD5, the most evolutionarily conserved transposable element-derived gene in chordates, can induce stereotypical cut-and-paste DNA transposition in human cells. Genomic integration activity of PGBD5 requires distinct aspartic acid residues in its transposase domain, and specific DNA sequences with inverted terminal repeats with similarity to piggyBac transposons. DNA transposition catalyzed by PGBD5 in human cells occurs genome-wide, with precise transposon excision and preference for insertion at TTAA sites. The apparent conservation of DNA transposition activity by PGBD5 raises the possibility that genomic remodeling may contribute to its biological function.",Transposon mapping using flanking sequence exponential anchored (FLEA) PCR,121687,1,https://www.protocols.io/view/transposon-mapping-using-flanking-sequence-exponen-d23x8gpn,0,Functional indications for transposase domestications - Characterization of the human piggyBac transposase derived (PGBD) activities.,0.275,0.4637,0.6677,0.282,0.48,0.6032,4,Cognate restriction of transposition by piggyBac-like proteins.
Identifying new drug candidates against Schistosoma using cheminformatics databases and ex vivo larval and adult worm assays to overcome praziquantel resistance.,37242601,"Schistosomiasis is one of the most important neglected tropical diseases. Until an effective vaccine is registered for use, the cornerstone of schistosomiasis control remains chemotherapy with praziquantel. The sustainability of this strategy is at substantial risk due to the possibility of praziquantel insensitive/resistant schistosomes developing. Considerable time and effort could be saved in the schistosome drug discovery pipeline if available functional genomics, bioinformatics, cheminformatics and phenotypic resources are systematically leveraged. Our approach, described here, outlines how schistosome-specific resources/methodologies, coupled to the open-access drug discovery database ChEMBL, can be cooperatively used to accelerate early-stage, schistosome drug discovery efforts. Our process identified seven compounds (fimepinostat, trichostatin A, NVP-BEP800, luminespib, epoxomicin, CGP60474 and staurosporine) with ex vivo anti-schistosomula potencies in the sub-micromolar range. Three of those compounds (epoxomicin, CGP60474 and staurosporine) also demonstrated potent and fast-acting ex vivo effects on adult schistosomes and completely inhibited egg production. ChEMBL toxicity data were also leveraged to provide further support for progressing CGP60474 (as well as luminespib and TAE684) as a novel anti-schistosomal compound. As very few compounds are currently at the advanced stages of the anti-schistosomal pipeline, our approaches highlight a strategy by which new chemical matter can be identified and quickly progressed through preclinical development.",Creating a screening set of potential anthelmintic compounds using ChEMBL,122031,0,https://www.protocols.io/view/creating-a-screening-set-of-potential-anthelmintic-d3ep8jdn,0,Robenidine derivatives as potential antischistosomal drug candidates.,0.3077,0.3976,0.4937,0.321,0.4785,0.6236,2,Pyrazoline derivatives as promising novel antischistosomal agents.
Rat auxiliary partial liver transplant model with arterial anastomosis and retrorsine treatment to study recipient cell recruitment into regenerating liver grafts.,28009756,"Background Auxiliary partial liver transplantation (APLT) in humans is a therapeutic modality used especially to treat liver failure in children or congenital metabolic disease. Animal models of APLT have helped to explore therapeutic options. Though many groups have suggested improvements, standardizing the surgical procedure has been challenging. Additionally, the question of whether graft livers are reconstituted by recipient-derived cells after transplantation has been controversial. The aim of this study was to improve experimental APLT in rats and to assess cell recruitment in the liver grafts. Methods To inhibit recipient liver regeneration and to promote graft regeneration, we treated recipients with retrorsine and added arterial anastomosis. Using green fluorescence protein transgenic rats as recipients, we examined liver resident cell recruitment within graft livers by immunofluorescence costaining. Results In the improved APLT model, we achieved well-regenerated grafts that could maintain regeneration for at least 4 weeks. Regarding the cell recruitment, there was no evidence of recipient-derived hepatocyte, cholangiocyte, or hepatic stellate cell recruitment into the graft. Macrophages/monocytes, however, were consistently recruited into the graft and increased over time, which might be related to inflammatory responses. Very few endothelial cells showed colocalization of markers. Conclusions We have successfully established an improved rat APLT model with arterial anastomosis as a standard technique. Using this model, we have characterized cell recruitment into the regenerating grafts.",Surgical Model of Auxiliary Partial Liver Transplantation in the Rat,121741,2,https://www.protocols.io/view/surgical-model-of-auxiliary-partial-liver-transpla-d25m8g46,1,Surgical Model of Auxiliary Partial Liver Transplantation in the Rat,1.0,0.9985,0.86,1.0,0.9985,0.86,1,Surgical Model of Auxiliary Partial Liver Transplantation in the Rat
Single-tube barcoding method to co-tag long DNA fragments for haplotype phasing and structural variant detection using short-read sequencing in human genome assembly.,30940689,"Here, we describe single-tube long fragment read (stLFR), a technology that enables sequencing of data from long DNA molecules using economical second-generation sequencing technology. It is based on adding the same barcode sequence to subfragments of the original long DNA molecule (DNA cobarcoding). To achieve this efficiently, stLFR uses the surface of microbeads to create millions of miniaturized barcoding reactions in a single tube. Using a combinatorial process, up to 3.6 billion unique barcode sequences were generated on beads, enabling practically nonredundant cobarcoding with 50 million barcodes per sample. Using stLFR, we demonstrate efficient unique cobarcoding of more than 8 million 20- to 300-kb genomic DNA fragments. Analysis of the human genome NA12878 with stLFR demonstrated high-quality variant calling and phase block lengths up to N50 34 Mb. We also demonstrate detection of complex structural variants and complete diploid de novo assembly of NA12878. These analyses were all performed using single stLFR libraries, and their construction did not significantly add to the time or cost of whole-genome sequencing (WGS) library preparation. stLFR represents an easily automatable solution that enables high-quality sequencing, phasing, SV detection, scaffolding, cost-effective diploid de novo genome assembly, and other long DNA sequencing applications.",A simple bead-based method for generating cost-effective co-barcoded sequence reads,122070,0,https://www.protocols.io/view/a-simple-bead-based-method-for-generating-cost-eff-d3fw8jpe,1,A simple bead-based method for generating cost-effective co-barcoded sequence reads,1.0,0.9489,0.6595,1.0,0.9489,0.6595,1,A simple bead-based method for generating cost-effective co-barcoded sequence reads
Map protein-DNA interactions genome-wide using antibody-tethered methyltransferase and Nanopore long-read sequencing to profile binding in repetitive regions and detect haplotype-specific interactions.,39237830,"We recently developed Directed Methylation with Long-read sequencing (DiMeLo-seq) to map protein-DNA interactions genome wide. DiMeLo-seq is capable of mapping multiple interaction sites on single DNA molecules, profiling protein binding in the context of endogenous DNA methylation, identifying haplotype specific protein-DNA interactions, and mapping protein-DNA interactions in repetitive regions of the genome that are difficult to study with short-read methods. With DiMeLo-seq, adenines in the vicinity of a protein of interest are methylated in situ by tethering the Hia5 methyltransferase to an antibody using protein A. Protein-DNA interactions are then detected by direct readout of adenine methylation with long-read, single-molecule, DNA sequencing platforms such as Nanopore sequencing. Here, we present a detailed protocol and practical guidance for performing DiMeLo-seq. This protocol can be run on nuclei from fresh, lightly fixed, or frozen cells. The protocol requires 1-2 days for performing in situ targeted methylation, 1-5 days for library preparation depending on desired fragment length, and 1-3 days for Nanopore sequencing depending on desired sequencing depth. The protocol requires basic molecular biology skills and equipment, as well as access to a Nanopore sequencer. We also provide a Python package, dimelo, for analysis of DiMeLo-seq data. Key papers Altemose, N., Maslan, A., Smith, O.K., Sundararajan, K., Brown, R.R., Mishra, R., Detweiler, A.M., Neff, N., Miga, K.H., Straight, A.F. and Streets, A., 2022. DiMeLo-seq: a long-read, single-molecule method for mapping protein–DNA interactions genome wide. Nature Methods, pp.1-13. (https://doi.org/10.1038/s41592-022-01475-6)",AlphaHOR-RES: a method for enriching centromeric DNA,"51194,55936",2,https://www.protocols.io/view/alphahor-res-a-method-for-enriching-centromeric-dn-bv9vn966,1,DiMeLo-seq: Directed Methylation with Long-read sequencing,0.3759,0.6477,0.8503,0.3759,0.6477,0.8503,1,DiMeLo-seq: Directed Methylation with Long-read sequencing
Identify proteins localized at specific genomic loci like telomeres using dCas9-APEX2 proximity labeling and mass spectrometry in living human cells.,29735996,"Mapping proteomic composition at distinct genomic loci in living cells has been a long-standing challenge. Here we report that dCas9–APEX2 biotinylation at genomic elements by restricted spatial tagging (C-BERST) allows the rapid, unbiased mapping of proteomes near defined genomic loci, as demonstrated for telomeres and centromeres. C-BERST enables the high-throughput identification of proteins associated with specific sequences, thereby facilitating annotation of these factors and their roles. dCas9 fused to ascorbate peroxidase (APEX2) biotinylates proteins around targeted loci so they can be enriched and characterized.",Mapping subnuclear proteomes onto genome architecture via C-BERST,122009,2,https://www.protocols.io/view/mapping-subnuclear-proteomes-onto-genome-architect-d3dz8i76,1,Mapping subnuclear proteomes onto genome architecture via C-BERST,1.0,0.9924,0.9288,1.0,0.9924,0.9288,1,Mapping subnuclear proteomes onto genome architecture via C-BERST
How does elevation drive natural selection on group aggregation behavior across globally sampled wild C. elegans strains using GWAS and heritability analysis?,41676688,"Animal behavior can diverge in natural populations in response to different environmental conditions, but if and how natural selection also shapes the evolution of collective behavior in groups of animals remains underexplored. With their cosmopolitan distribution and known collective behaviours, wild populations of Caenorhabditis elegans provide a powerful system to address how collective behavior could evolve across natural habitats on a global scale. We screened a panel of 196 genetically diverse C. elegans strains sampled from around the world, conducting aggregation behavior experiments and analysis to quantify natural variation among these populations. We found substantial variation in the spatial magnitude and the temporal dynamics of aggregation across strains, which were significantly explained by the elevation of the source habitats. Accounting for neutral evolutionary processes, our maximum likelihood population effects (MLPE) models further support a role of selection on aggregation. Furthermore, the two behavioral traits are highly heritable, and genome-wide association studies (GWAS) revealed a quantitative trait locus (QTL) containing several candidate genes associated with oxygen response and foraging behaviors. Our results showcase C. elegans aggregation as a collective behavior that has diverged globally across elevational gradients, and support that natural selection has shaped the evolution of this collective behavior.",Making low peptone NGM for imaging plates,44774,1,https://www.protocols.io/view/making-low-peptone-ngm-for-imaging-plates-bpyempte,0,High-throughput Behavioral Assay (HTBA),0.0972,0.3443,0.3051,0.2852,0.6978,0.321,9,NGM Preparation – Maintenance c. elegans
Comparing single-cell versus single-nucleus RNA sequencing cell-type composition differences in matched fresh versus frozen human colon and liver tissue.,36460793,"Single-cell ribonucleic acid (RNA) sequencing (scRNA-seq) is an effective technique for estimating the cellular composition and transcriptional profiles of individual cells from fresh tissue. Single-nucleus RNA sequencing (snRNA-seq) is necessary to perform this type of analysis in frozen or difficult-to-dissociate tissues, which cannot be subjected to scRNA-seq. This difference in the state of tissues leads to variation in cell-type distributions among each platform. To identify the characteristics of these methods and their differences, scRNA-seq and snRNA-seq were performed in parallel for colon and liver tissues. The two platforms revealed similar diversity but different proportions of cell types in matched tissues. The proportions of epithelial cells in the colon and hepatocytes in the liver were relatively high in snRNA-seq and that of immune cells was relatively high in scRNA-seq. This difference could be explained by variations in the expression scores of adhesion genes due to the disruption of the cytoplasmic contents during scRNA-seq. The enrichment of epithelial cells in the colon resulted in a discrepancy in the differentiation of epithelial cells. This enrichment was also well matched with the images of hematoxylin and eosin staining and the estimated distribution of cell types in bulk RNA sequencing. These results showed that snRNA-seq could be used to analyze tissues that cannot be subjected to scRNA-seq and provides more information in specific cell type analysis. Methods that analyze single-cell RNA sequences in fresh clinical samples are skewed toward examining a different subset of cell types than methods analyzing single-nucleus sequences in frozen tissues. A team led by Chang Eun Yoo and Woong-Yang Park from the Samsung Medical Center in Seoul, South Korea, applied two different RNA-sequencing techniques in parallel on a common set of colon and liver tissues collected from cancer patients. They showed that single-cell profiling, which works best with fresh samples that can be readily dissociated into component cells, returned results on more immune cells, whereas single-nucleus methods, best for archived -frozen tissues, were enriched for more cells of epithelial origin. The different cell distributions revealed by this matched tissue analysis should help inform data interpretation and assay selection for future RNA-sequencing studies.",Single-nucleus isolation from frozen human lung tissue for single-nucleus RNA-seq,22144,0,https://www.protocols.io/view/single-nucleus-isolation-from-frozen-human-lung-ti-zu8f6zw,0,10X Genomics Single-Nucleus RNA-Sequencing for Transcriptomic Profiling of Adult Human Tissues,0.6239,0.5979,0.6869,0.6805,0.7132,0.6975,2,(P75) Isolation of single nuclei from frozen tissues
Looking for methods to detect or remove heterophilic antibody interference in plasma p-tau217 immunoassays used for Alzheimer's biomarker testing.,41457950,"Plasma phosphorylated tau at threonine 217 (p‐tau217) has emerged as one of the most promising blood‐based biomarkers for Alzheimer's disease (AD). While rare, heterophilic antibodies (HAb) are a persistent potential confounding factor in immunoassays.",Interference in ELISA,259411,1,https://www.protocols.io/view/interference-in-elisa-h9jtb94np,5,Decrease in plasma levels of α-synuclein is evident in patients with Parkinson's disease after elimination of heterophilic antibody interference.,0.2609,0.2805,0.394,1.0,0.9342,0.276,5,Interference in ELISA
Multi-omics analysis of gut microbiome metabolic changes including metabolomics and metatranscriptomics in Parkinson's disease patients versus healthy controls to identify functional microbial alterations.,41053825,"Parkinson’s disease (PD) is associated with gut microbiome shifts, but the functional consequences remain unclear. Here, we use an integrated multi-omics approach to compare the gut microbiomes of individuals with PD and prodromal PD as well as healthy individuals. After analyzing each omics, meta-metabolomic was selected to inform the analysis as it represents the most discriminatory and robust ome. We identified 11 metabolites that were differentially abundant between the groups, amongst which β-glutamate was increased in PD and prodromal PD, and correlated with the transcriptional activities of Methanobrevibacter smithii and Clostridium spp. We identified decreases in transcripts, but not in gene abundances, related to glutamate metabolism, bile acids, chemotaxis and flagellar assembly in PD, particularly in keystone genera such as Roseburia, Agathobacter and Blautia. Our findings, integrated into the Expobiome map, reveal multifactorial microbiome alterations which converge with PD pathways. Our study highlights the importance of investigating the gut microbiome’s functional dimensions to better resolve microbiome-host interactions in health and disease.","The sequential isolation of metabolites, RNA, DNA, and proteins from a single, undivided mixed microbial community sample",121607,1,https://www.protocols.io/view/the-sequential-isolation-of-metabolites-rna-dna-an-d2zf8f3n,0,Integrative multi-omics analysis reveals host-microbiome metabolic alterations and candidate biomarkers in Parkinson's disease.,0.3908,0.6092,0.9034,0.2259,0.668,0.4664,5,bioBakery Protocols
