pmid,keywords,used_query,rank,result_protocol_id,result_title,is_confirmed_target
26406119,transposase human genome,transposase,1,113438,CUT&Tag-direct for whole cells with CUTAC ,False
26406119,transposase human genome,transposase,2,13920,"A high throughput, cost-efficient library preparation protocol for large scale next generation sequencing",False
26406119,transposase human genome,transposase,3,16803,Cost-conscious generation of multiplexed short-read DNA libraries for whole genome sequencing,False
26406119,transposase human genome,transposase,4,16985,"Fast-Seq, a universal method for rapid and inexpensive genomic validation of rAAV vectors in preclinical settings",False
26406119,transposase human genome,transposase,5,33385,Bench top CUT&Tag,False
26406119,transposase human genome,transposase,6,19680,scTHS-seq ,False
26406119,transposase human genome,transposase,7,20081,Mammalian Calling Cards Quick Start Guide,False
26406119,transposase human genome,transposase,8,20137,Bulk Calling Cards Library Preparation,False
26406119,transposase human genome,transposase,9,20138,Single Cell Calling Cards Library Preparation,False
26406119,transposase human genome,transposase,10,20139,Processing Bulk Calling Card Sequencing Data,False
37242601,schistosome drug discovery,schistosome,1,15476,Manual microdissection of schistosomes for proteomic and transcriptomic characterisation of the worm alimentary tract,False
37242601,schistosome drug discovery,schistosome,2,15866,Manual dissection of the Schistosoma mansoni esophagus and back end for proteomic analysis,False
37242601,schistosome drug discovery,schistosome,3,16891,Manual dissection of the Schistosoma mansoni and S. japonicum head and back end for transcriptomic analysis,False
37242601,schistosome drug discovery,schistosome,4,30910,A simple ATAC-seq protocol for population epigenetics,False
37242601,schistosome drug discovery,schistosome,5,68546,Hamster infestation with cercariae,False
37242601,schistosome drug discovery,schistosome,6,74016,Schistosome DNA Isolation and Colorimetric LAMP protocol for the detection of Schistosomiasis,False
37242601,schistosome drug discovery,schistosome,7,83740,Genetic Characterization of Schistosomes,False
37242601,schistosome drug discovery,schistosome,8,315662,Schistosoma haematobium larva FTA-to-WGS,False
28009756,auxiliary liver transplantation rat,auxiliary liver transplantation,1,121741,Surgical Model of Auxiliary Partial Liver Transplantation in the Rat,True
30940689,linked read sequencing,linked,1,321831,Age-dependent brain pigmentation drives early neuroinflammatory molecular signatures linked to neurodegeneration,False
30940689,linked read sequencing,linked,2,318639,X-PIE curation,False
30940689,linked read sequencing,linked,3,38262,Cross-linking of IgG to Protein A or G Beads (S1425/S1430),False
30940689,linked read sequencing,linked,4,9434,ELISA Protocol,False
30940689,linked read sequencing,linked,5,9458,Fluorescent in situ sequencing (FISSEQ) of RNA for gene expression profiling in intact cells and tissues,False
30940689,linked read sequencing,linked,6,11074,Peroxidase-linked lectin assay to determine neuraminidase-inhibiting antibodies using reassortant influenza viruses,False
30940689,linked read sequencing,linked,7,13676,Production of lentiviral vectors pseudotyped with influenza neuraminidase (NA),False
30940689,linked read sequencing,linked,8,14499,Endo F1 Protocol for Deglycosylating Glycoproteins,False
30940689,linked read sequencing,linked,9,14502,Endo F2,False
30940689,linked read sequencing,linked,10,19606,Urea-mediated dissociation alleviate the false-positive Treponema pallidum-specific antibodies detected by ELISA,False
39237830,long-read protein-DNA mapping,long-read,1,322267,Closing bacterial genomes using the  Rapid Sequencing Kit (SQK-RBK114) from Oxford Nanopore Technologies (ONT),False
39237830,long-read protein-DNA mapping,long-read,2,321639,Whole-Genome Sequencing of Escherichia coli Using Oxford Nanopore Technology,False
39237830,long-read protein-DNA mapping,long-read,3,321556,Paw-CTAB: High-Molecular-Weight DNA Extraction from Phenolic-Rich Anigozanthos,False
39237830,long-read protein-DNA mapping,long-read,4,228082,"Long-read single-cell genome, transcriptome and open chromatin profiling links genotype to phenotypes.",False
39237830,long-read protein-DNA mapping,long-read,5,318252,RAPID - RNA Analysis Pipeline for Integrated Diagnostics,False
39237830,long-read protein-DNA mapping,long-read,6,317788,SOP for methods paper GUI,False
39237830,long-read protein-DNA mapping,long-read,7,123614,Processing human brain tissue and cultured cells for population-scale SQK-PCS114 Oxford Nanopore long-read cDNA-PCR sequencing SOP ,False
39237830,long-read protein-DNA mapping,long-read,8,9136,"High quality DNA from Fungi for long read sequencing e.g. PacBio, Nanopore MinION",False
39237830,long-read protein-DNA mapping,long-read,9,9751,Ultra-long read sequencing protocol for RAD004,False
39237830,long-read protein-DNA mapping,long-read,10,10365,Low input long-read DNA isolation  for Nanopore sequencing,False
29735996,proximity labeling proteomics chromatin,proximity labeling,1,70061,APEX2 labelling and screening for biotinylated proteins by proteomics,False
29735996,proximity labeling proteomics chromatin,proximity labeling,2,93712,A proximity proteomics pipeline for subcellular proteome and protein interaction mapping,False
29735996,proximity labeling proteomics chromatin,proximity labeling,3,97988,APEX2-based proximity biotinylation of NLRP3 and P4C (SidC) during inflammasome activation,False
29735996,proximity labeling proteomics chromatin,proximity labeling,4,117120,APEX-seq: RNA subcellular localization by proximity labeling,False
29735996,proximity labeling proteomics chromatin,proximity labeling,5,121955,Biotinylation by antibody recognition,False
29735996,proximity labeling proteomics chromatin,proximity labeling,6,122037,Identification of interacting proteins using PUP-IT,False
29735996,proximity labeling proteomics chromatin,proximity labeling,7,125791,APEX2-based proximity biotinylation of ATG2A ,False
41676688,C. elegans aggregation behavior,C. elegans,1,317464,High-throughput Larval Development Assay (HTLDA),False
41676688,C. elegans aggregation behavior,C. elegans,2,1546,Direct delivery CRISPR-HDR editing protocol for C. elegans,False
41676688,C. elegans aggregation behavior,C. elegans,3,1726,Seamless editing of the C. elegans genome using CRISPR/Cas9,False
41676688,C. elegans aggregation behavior,C. elegans,4,13913,High-throughput assessment of changes in the Caenorhabditis elegans gut microbiome,False
41676688,C. elegans aggregation behavior,C. elegans,5,16424,Swarming assay (high number),False
41676688,C. elegans aggregation behavior,C. elegans,6,18187,fluorescence aggregation imaging,False
41676688,C. elegans aggregation behavior,C. elegans,7,18147,bright field standard swarming imaging,False
41676688,C. elegans aggregation behavior,C. elegans,8,18153,bright field big patch swarming imaging,False
41676688,C. elegans aggregation behavior,C. elegans,9,18154,bright field pheromone imaging,False
41676688,C. elegans aggregation behavior,C. elegans,10,18350,Using fluorescent beads to measure feeding rate in C. elegans,False
36460793,single nucleus single cell RNA sequencing comparison,single nucleus,1,35391,Tissue Dissociation and Nuclei Isolation,False
36460793,single nucleus single cell RNA sequencing comparison,single nucleus,2,320196,(P75) Isolation of single nuclei from frozen tissues,False
36460793,single nucleus single cell RNA sequencing comparison,single nucleus,3,233703,OCT embedding (for spatial transcriptomics) and flash freezing (for single nucleus RNA-seq) of human myometrial and decidual tissues,False
36460793,single nucleus single cell RNA sequencing comparison,single nucleus,4,90671,ONT Library Prep for Split-seq cDNA,False
36460793,single nucleus single cell RNA sequencing comparison,single nucleus,5,17371,Zoospore Isolation of Aurantiochytrium limacinum,False
36460793,single nucleus single cell RNA sequencing comparison,single nucleus,6,18394,Single Nucleus RNAseq Sample Prep from Nodose Ganglia,False
36460793,single nucleus single cell RNA sequencing comparison,single nucleus,7,315862,10x Multiome (snRNA/ATACseq) of HuBMAP MOSDAP Tissues,False
36460793,single nucleus single cell RNA sequencing comparison,single nucleus,8,19266,Processing Human Colon muscle layers for Single Nuclei RNA-seq using PHOX2B antibody immunoselection,False
36460793,single nucleus single cell RNA sequencing comparison,single nucleus,9,19680,scTHS-seq ,False
36460793,single nucleus single cell RNA sequencing comparison,single nucleus,10,22144,Single-nucleus isolation from frozen human lung tissue for single-nucleus RNA-seq,True
41457950,plasma tau immunoassay,plasma,1,322288,Study protocol: Prevalence-calibrated thresholds for plasma p-tau217/Aβ42 ratio to detect cerebral amyloid-β: a systematic review and meta-analysis with comparison to FDA-approved cutoffs,False
41457950,plasma tau immunoassay,plasma,2,318634,"703 and 704.  Whole Blood Peripheral Blood Mononuclear Cell (PBMC) Isolation, Freezing and Thawing.  LungMAP HTC SOP",False
41457950,plasma tau immunoassay,plasma,3,319372,Mycoplasma Detection and Elimination Protocol for Cell Culture,False
41457950,plasma tau immunoassay,plasma,4,318000,Microbial cfDNA sample processing and extraction protocol with the QIAamp MinElute ccfDNA Kit,False
41457950,plasma tau immunoassay,plasma,5,318110,"LUMC Biobank adapted protocol for plasma isolation from whole blood, based on the national Dutch standard",False
41457950,plasma tau immunoassay,plasma,6,317914,A Cost-Optimized 5-Protein Panel Revolutionizes Systemic Lupus Erythematosus Diagnosis,False
41457950,plasma tau immunoassay,plasma,7,318135,Inductively coupled plasma mass spectrometry (ICP-MS),False
41457950,plasma tau immunoassay,plasma,8,228138,From Bone to Flow: Comprehensive Flow Cytometry Protocol for Profiling B Cell Populations in Mouse Bone Marrow,False
41457950,plasma tau immunoassay,plasma,9,103864,"Measurement of trimethylamine compounds - choline, L-carnitine, TMA and TMAO by LC-MS/MS in plasma and urine",False
41457950,plasma tau immunoassay,plasma,10,3977,Total RNA Purification from Plasma or Serum (ISOLATE II Biofluids RNA Kit),False
41053825,gut microbiome multiomics,gut microbiome,1,1848,Finding the core vs flexible microbiome,False
41053825,gut microbiome multiomics,gut microbiome,2,13913,High-throughput assessment of changes in the Caenorhabditis elegans gut microbiome,False
41053825,gut microbiome multiomics,gut microbiome,3,20843,UC Davis - Gut Microbiome Analysis (454-10K reads),False
41053825,gut microbiome multiomics,gut microbiome,4,20908,UC Davis - Gut Microbiome Analysis (454-3K reads),False
41053825,gut microbiome multiomics,gut microbiome,5,20911,"UC Davis - Gut Microbiome Analysis (Illumina-20K reads, 2X300bp)",False
41053825,gut microbiome multiomics,gut microbiome,6,29935,High-Throughput Stool Metaproteome Extraction,False
41053825,gut microbiome multiomics,gut microbiome,7,45750,Protocols for &#34;Shotgun Metagenomics of 361 elderly women reveals gut microbiome change in bone mass loss&#34;,False
41053825,gut microbiome multiomics,gut microbiome,8,45993,Protocols for &#34;Shotgun Metagenomics of 361 elderly women reveals gut microbiome change in bone mass loss&#34;,False
41053825,gut microbiome multiomics,gut microbiome,9,45994,Protocols for &#34;Linking gut microbiome to bone mineral density: a shotgun metagenomic study of 361 eldly women&#34;,False
41053825,gut microbiome multiomics,gut microbiome,10,46092,Protocols for &#34;Linking gut microbiome to bone mineral density: a shotgun metagenomic dataset from 361 elderly women&#34;,False
41413855,genomic selection livestock,genomic selection,1,43927,Novel In Vivo Regeneration System of Tomato,False
41413855,genomic selection livestock,genomic selection,2,92516,Crop DNA Extraction with Lab-Made Magnetic Nanoparticles,False
42082551,NLRP3 inflammasome live imaging,NLRP3,1,97988,APEX2-based proximity biotinylation of NLRP3 and P4C (SidC) during inflammasome activation,False
42082551,NLRP3 inflammasome live imaging,NLRP3,2,98085,Assaying NLRP3-mediated LDH and IL-1β release,False
28945705,metabolic RNA sequencing,metabolic RNA,1,116161,Thiol-linked alkylation for the metabolic sequencing of RNA (SLAMseq),True
28945705,metabolic RNA sequencing,metabolic RNA,2,122399,"Massively parallel and time-resolved RNA sequencing in single cells with scNT-Seq
",False
41652543,plant nanopore sequencing,plant,1,322942,Manual cryo-milling,False
41652543,plant nanopore sequencing,plant,2,323048,Making the cut: experimental bamboo processing using chert tools from Island Southeast Asia,False
41652543,plant nanopore sequencing,plant,3,322845,Rotary milling,False
41652543,plant nanopore sequencing,plant,4,317991,Genomic DNA extraction from Wahlenbergia (Bluebell) leaves,False
41652543,plant nanopore sequencing,plant,5,243168,Total RNA Purification from Bluebell Leaves,False
41652543,plant nanopore sequencing,plant,6,322451,Identifying direct TARGETs of transcription factors in wheat,False
41652543,plant nanopore sequencing,plant,7,322362,Shoot Structure and Leaf Morphometry Measurements for Seagrass Nursery Plants,False
41652543,plant nanopore sequencing,plant,8,322363,Transplanting Seagrass Plants into Nursery Raceways,False
41652543,plant nanopore sequencing,plant,9,322421,Historic fungal museum specimen DNA recovery: a modified E.Z.N.A.® HP Plant & Fungal DNA Kit protocol for herbarium fungi,False
41652543,plant nanopore sequencing,plant,10,322281,Sediment Nutrient Amendment for Seagrass Nursery Plants,False
34596274,preclinical diabetes mouse,preclinical,1,319608,Rearing Collection and Processing Protocol,False
34596274,preclinical diabetes mouse,preclinical,2,320013,Open Field Activity Monitoring Processing Protocol,False
34596274,preclinical diabetes mouse,preclinical,3,319607,Open Field Activity Monitoring Collection Protocol,False
34596274,preclinical diabetes mouse,preclinical,4,319117,Cardiac Tissue-Specific Cell-Free DNA Methylation Profiling for Preclinical Detection of Hereditary ATTR Cardiomyopathy (hATTR-CM),False
34596274,preclinical diabetes mouse,preclinical,5,317289,Slow flowing MRI phantom for FLAIR validation,False
34596274,preclinical diabetes mouse,preclinical,6,10786,The anxiolytic effect of probiotics: A systematic review and meta-analysis of the clinical and preclinical literature,False
34596274,preclinical diabetes mouse,preclinical,7,11662,Reconstruction of simultaneous multislice imaging magnetic resonance data (example),False
34596274,preclinical diabetes mouse,preclinical,8,27616,UC Davis - Imaging CMGI,False
34596274,preclinical diabetes mouse,preclinical,9,28466,Image-based 3D cell culture cytotoxicity assay,False
34596274,preclinical diabetes mouse,preclinical,10,60964,Open-Skull Controlled Cortical Impact (CCI) model in rats,False
28530655,tumor barcoding sequencing,tumor,1,322298,In Vivo Checkpoint Antibody Administration in Mouse Tumor Models,False
28530655,tumor barcoding sequencing,tumor,2,99608,CUTAC for FFPEs,False
28530655,tumor barcoding sequencing,tumor,3,319393,Mesenchymal Stem Cell Isolation and Culture from Murine Bones,False
28530655,tumor barcoding sequencing,tumor,4,319854,Immunolabeling and Tissue Clearing for Calcified Tissues,False
28530655,tumor barcoding sequencing,tumor,5,319427,Immuolabelling and Tissue Clearing for Large Tissues and Organs,False
28530655,tumor barcoding sequencing,tumor,6,319389,Comprehensive protocols for H1-10 nucleolar functional characterization,False
28530655,tumor barcoding sequencing,tumor,7,319963,A standardized protocol for establishing minimally invasive mouse models of jaw osteonecrosis: bisphosphonate-related and radiation-induced models,False
28530655,tumor barcoding sequencing,tumor,8,319431,3D Light-Sheet Fluorescence Imaging and Imaris-Based Analysis of Cleared Tissues,False
28530655,tumor barcoding sequencing,tumor,9,124927,Lightweight Brain Tumor Segmentation on Low-Resource Systems: A Step-by-Step Guide with 3D U-Net,False
28530655,tumor barcoding sequencing,tumor,10,7499,"Differentiation of Glioblastoma Multiforme, Metastases and Primary Central Nervous System Lymphomas using Multiparametric Perfusion and Diffusion MR Imaging of a Tumor Core and a Peritumoral Zone – Searching for a Practical Approach.",False
25665179,aptamer lipid nanoparticles,aptamer,1,19401,Wireless electrochemical measurement of kanamycin in whole blood,False
25665179,aptamer lipid nanoparticles,aptamer,2,26872,Streptavidin dot blot with aptamers,False
25665179,aptamer lipid nanoparticles,aptamer,3,28933,Quantitative paper ELONA,False
25665179,aptamer lipid nanoparticles,aptamer,4,28269,Cell-ELONA,False
25665179,aptamer lipid nanoparticles,aptamer,5,28895,Qualitative paper ELONA test,False
25665179,aptamer lipid nanoparticles,aptamer,6,29220,Magnetic Beads Cell Separation,False
25665179,aptamer lipid nanoparticles,aptamer,7,29222,Plate cell – SELEX,False
25665179,aptamer lipid nanoparticles,aptamer,8,29221,Structuralization and Incubation,False
25665179,aptamer lipid nanoparticles,aptamer,9,28945,Aptamer 2-step conjugation protocol (INSA-Lyon 2016),False
25665179,aptamer lipid nanoparticles,aptamer,10,28951,Aptamer conjugated beads affinity assay,False
35853087,retraction citation analysis,retraction citation,1,21623,Post-retraction citation: a case for radiology-imaging diagnostic,False
28394336,open database search proteomics,open database,1,121866,Using MSFragger for ultrafast database searching,True
30010754,Betta splendens genome,Betta splendens genome,1,12798,DNA extration for the Betta splendens genome,False
30010754,Betta splendens genome,Betta splendens genome,2,12799,RNA extration for the Betta splendens genome,False
30010754,Betta splendens genome,Betta splendens genome,3,12801,An analytical pipeline of assembly and annotation of the Betta splendens genome.,True
30010754,Betta splendens genome,Betta splendens genome,4,12802,The pipeline of Hi-C assembly,False
30010754,Betta splendens genome,Betta splendens genome,5,12934,DNA extraction for the Betta splendens genome,False
30010754,Betta splendens genome,Betta splendens genome,6,12935,RNA extraction for the Betta splendens genome,False
31873830,myoblast primary culture,myoblast,1,7736,Implication of SPARC in the modulation of the extracellular matrix and mitochondrial function in muscle cells,False
31873830,myoblast primary culture,myoblast,2,57834,"Development of a simple and versatile in vitro method for production, stimulation, and analysis of bioengineered muscle",False
31873830,myoblast primary culture,myoblast,3,65633,"Development of a simple and versatile in vitro method for production, stimulation, and analysis of bioengineered muscle",False
31873830,myoblast primary culture,myoblast,4,123119,"A step by step protocol for stabilizing specific DNA G-quadruplexes by CRISPR guided G-quadruplex binding proteins and ligands
",False
39596330,RNase H R-loop,RNase H,1,89895,Detection of knockdown resistance mutations in Musca domestica by rhPCR,False
34552577,fungal antimycobacterial screening,fungal,1,322421,Historic fungal museum specimen DNA recovery: a modified E.Z.N.A.® HP Plant & Fungal DNA Kit protocol for herbarium fungi,False
34552577,fungal antimycobacterial screening,fungal,2,229510,Establishing ecto- and ericoid mycorrhizal symbioses in vitro,False
34552577,fungal antimycobacterial screening,fungal,3,318676,Solid medium fungal culture extraction,False
34552577,fungal antimycobacterial screening,fungal,4,319408,OSMAC Culture procedure for fungi,False
34552577,fungal antimycobacterial screening,fungal,5,318698,Chemical profiling for fungal culture extract,False
34552577,fungal antimycobacterial screening,fungal,6,319394,Microfractionation of a fungal culture extract,False
34552577,fungal antimycobacterial screening,fungal,7,243287,Simplified Agrobacterium-mediated transformation of Botrytis cinerea using mycelia,False
34552577,fungal antimycobacterial screening,fungal,8,109693,Universal HMW genomic DNA extraction protocol for long reads sequencing,False
34552577,fungal antimycobacterial screening,fungal,9,2566,Detecting Fungal Infections in Almonds,False
34552577,fungal antimycobacterial screening,fungal,10,2984,OmniPrep™ For High Quality Genomic DNA Extraction From Fungal Tissue,False
31077316,avian genome assembly,avian,1,6047,DCX Immunohistochemistry Protocol,False
31077316,avian genome assembly,avian,2,6046,NeuN Immunohistochemistry Protocol,False
31077316,avian genome assembly,avian,3,6253,Rapid and Broad Detection of H5 Hemagglutinin by an Immunochromatographic Kit Using Novel Monoclonal Antibody against Highly Pathogenic Avian Influenza Virus Belonging to the Genetic Clade 2.3.4.4,False
31077316,avian genome assembly,avian,4,9352,Metagenomic Analysis of Microbial profile of Guinea Fowls and Chickens,False
31077316,avian genome assembly,avian,5,13676,Production of lentiviral vectors pseudotyped with influenza neuraminidase (NA),False
31077316,avian genome assembly,avian,6,16620,Skin lesions monitoring on slaughtered pigs,False
31077316,avian genome assembly,avian,7,17598,DNA extraction from avian faeces stored in ethanol,False
31077316,avian genome assembly,avian,8,22324,"Stable isotopes in avian research: a step by step protocol to feather sample preparation for stable isotope analysis of carbon (δ13C), nitrogen (δ15N), and hydrogen (δ2H). Version 1.1",False
31077316,avian genome assembly,avian,9,22853,Amplicon library protocol for metabarcoding-based diet analysis in blue tits (Cyanistes caeruleus) using faecal DNA,False
31077316,avian genome assembly,avian,10,28513,Identify fetal yawns based on temporal dynamics of mouth opening. ,False
