pmid,boolean_query,rank,result_pmid,result_title
26406119,"(""PGBD5"" OR ""piggyBac derived 5"") AND (""DNA transposition"" OR ""transposase"" OR ""transposable element"" OR ""mobile genetic element"" OR ""cut-and-paste transposition"") AND (""human"" OR ""human cells"" OR ""Homo sapiens"" OR ""chordate"") AND (""genomic integration"" OR ""genomic rearrangement"" OR ""transposon excision"" OR ""TTAA"" OR ""inverted terminal repeat"" OR ""piggyBac"")",1,38517960,Childhood cancer mutagenesis caused by transposase-derived PGBD5.
26406119,"(""PGBD5"" OR ""piggyBac derived 5"") AND (""DNA transposition"" OR ""transposase"" OR ""transposable element"" OR ""mobile genetic element"" OR ""cut-and-paste transposition"") AND (""human"" OR ""human cells"" OR ""Homo sapiens"" OR ""chordate"") AND (""genomic integration"" OR ""genomic rearrangement"" OR ""transposon excision"" OR ""TTAA"" OR ""inverted terminal repeat"" OR ""piggyBac"")",2,41533792,A transposase-derived gene required for human brain development.
26406119,"(""PGBD5"" OR ""piggyBac derived 5"") AND (""DNA transposition"" OR ""transposase"" OR ""transposable element"" OR ""mobile genetic element"" OR ""cut-and-paste transposition"") AND (""human"" OR ""human cells"" OR ""Homo sapiens"" OR ""chordate"") AND (""genomic integration"" OR ""genomic rearrangement"" OR ""transposon excision"" OR ""TTAA"" OR ""inverted terminal repeat"" OR ""piggyBac"")",3,40766603,The piggyBac derived transposase 5 (PGBD5) can interact with human piggyBac-like elements.
26406119,"(""PGBD5"" OR ""piggyBac derived 5"") AND (""DNA transposition"" OR ""transposase"" OR ""transposable element"" OR ""mobile genetic element"" OR ""cut-and-paste transposition"") AND (""human"" OR ""human cells"" OR ""Homo sapiens"" OR ""chordate"") AND (""genomic integration"" OR ""genomic rearrangement"" OR ""transposon excision"" OR ""TTAA"" OR ""inverted terminal repeat"" OR ""piggyBac"")",4,37163102,A transposase-derived gene required for human brain development.
26406119,"(""PGBD5"" OR ""piggyBac derived 5"") AND (""DNA transposition"" OR ""transposase"" OR ""transposable element"" OR ""mobile genetic element"" OR ""cut-and-paste transposition"") AND (""human"" OR ""human cells"" OR ""Homo sapiens"" OR ""chordate"") AND (""genomic integration"" OR ""genomic rearrangement"" OR ""transposon excision"" OR ""TTAA"" OR ""inverted terminal repeat"" OR ""piggyBac"")",5,40794452,Epigenetic targeting of PGBD5-dependent DNA damage in SMARCB1-deficient sarcomas.
26406119,"(""PGBD5"" OR ""piggyBac derived 5"") AND (""DNA transposition"" OR ""transposase"" OR ""transposable element"" OR ""mobile genetic element"" OR ""cut-and-paste transposition"") AND (""human"" OR ""human cells"" OR ""Homo sapiens"" OR ""chordate"") AND (""genomic integration"" OR ""genomic rearrangement"" OR ""transposon excision"" OR ""TTAA"" OR ""inverted terminal repeat"" OR ""piggyBac"")",6,34232995,Cognate restriction of transposition by piggyBac-like proteins.
26406119,"(""PGBD5"" OR ""piggyBac derived 5"") AND (""DNA transposition"" OR ""transposase"" OR ""transposable element"" OR ""mobile genetic element"" OR ""cut-and-paste transposition"") AND (""human"" OR ""human cells"" OR ""Homo sapiens"" OR ""chordate"") AND (""genomic integration"" OR ""genomic rearrangement"" OR ""transposon excision"" OR ""TTAA"" OR ""inverted terminal repeat"" OR ""piggyBac"")",7,26406119,Genomic DNA transposition induced by human PGBD5.
26406119,"(""PGBD5"" OR ""piggyBac derived 5"") AND (""DNA transposition"" OR ""transposase"" OR ""transposable element"" OR ""mobile genetic element"" OR ""cut-and-paste transposition"") AND (""human"" OR ""human cells"" OR ""Homo sapiens"" OR ""chordate"") AND (""genomic integration"" OR ""genomic rearrangement"" OR ""transposon excision"" OR ""TTAA"" OR ""inverted terminal repeat"" OR ""piggyBac"")",8,27491780,Forward genetic screen of human transposase genomic rearrangements.
26406119,"(""PGBD5"" OR ""piggyBac derived 5"") AND (""DNA transposition"" OR ""transposase"" OR ""transposable element"" OR ""mobile genetic element"" OR ""cut-and-paste transposition"") AND (""human"" OR ""human cells"" OR ""Homo sapiens"" OR ""chordate"") AND (""genomic integration"" OR ""genomic rearrangement"" OR ""transposon excision"" OR ""TTAA"" OR ""inverted terminal repeat"" OR ""piggyBac"")",9,33450253,The C-terminal Domain of piggyBac Transposase Is Not Required for DNA Transposition.
26406119,"(""PGBD5"" OR ""piggyBac derived 5"") AND (""DNA transposition"" OR ""transposase"" OR ""transposable element"" OR ""mobile genetic element"" OR ""cut-and-paste transposition"") AND (""human"" OR ""human cells"" OR ""Homo sapiens"" OR ""chordate"") AND (""genomic integration"" OR ""genomic rearrangement"" OR ""transposon excision"" OR ""TTAA"" OR ""inverted terminal repeat"" OR ""piggyBac"")",10,28504702,PGBD5 promotes site-specific oncogenic mutations in human tumors.
