p_pmid,x_pmid,query,precedence_hit,detail,papers_returned,papers_traceable,x_imm_size
41328192,37007617,"How do I quantify PE, PP, and polystyrene microplastics in soil samples by pyrolysis-GC/MS with reliable detection limits and recovery rates?",False,,9,9,4
42139284,34840962,Portable device for running colorimetric LAMP reactions simultaneously in paper microfluidic devices and tubes with real-time image-based quantification and isothermal temperature control.,True,rank 2 X'=35260588 shared=doi:10.1038/s41587-020-0513-4;doi:10.2144/000114253,9,9,6
40808208,38313694,"How does mild NaOH treatment affect the structure, thermal stability, and morphology of zein-chitosan composite films characterized by FTIR, TGA, DSC, and SEM?",True,rank 2 X'=41471005 shared=doi:10.1016/j.carbpol.2010.01.037,2,2,20
41536860,32995313,"Nutrient composition analysis of commonly consumed East African coastal marine fish species for micronutrients, fatty acids, and macronutrients across different preparation methods and size categories.",False,,9,7,25
29070510,29062719,"How do FMO gene knockout, mouse strain, and sex affect TMAO levels, plasma cholesterol, and atherosclerosis markers in mice?",True,rank 2 X'=32392758 shared=doi:10.1002/jbt.2570100308;doi:10.1016/0026-0495(92)90140-6;doi:10.1038/nature09922;doi:10.1093/ndt/gfk056,5,5,29
41263243,36824995,Detecting microplastics in water samples by combining Nile Red fluorescence staining with Raman spectroscopy using a single integrated instrument for faster polymer identification.,True,rank 2 X'=40690047 shared=doi:10.1016/j.chemosphere.2020.127953;doi:10.1016/j.jhazmat.2021.127171;doi:10.1016/j.marpolbul.2016.10.049;doi:10.1016/j.mex.2023.102053,8,7,23
41991686,33364623,How do senescent macrophages expressing p21 and TREM2 contribute to liver inflammation and steatosis in aging and metabolic liver disease models?,False,,8,8,7
42310461,35931778,Map protein expression levels across dozens of human tissues and tumor types using DIA mass spectrometry to identify cancer-specific biomarkers and potential drug targets.,True,rank 1 X'=32795611 shared=doi:10.1002/1878-0261.12570;doi:10.1007/7651_2017_87;doi:10.1016/j.gpb.2019.11.008;doi:10.1038/nm.3807,10,9,40
39878654,35496782,How do neurons molecularly adapt to copper deficiency through mTORC1 signaling and protein synthesis changes in genetic models of Menkes disease?,True,rank 1 X'=39314281 shared=doi:10.1016/j.xpro.2022.101334;doi:10.1523/jneurosci.1321-16.2016,7,5,15
42519393,30933724,Combining an mRNA HPV16 E6/E7 vaccine with oncolytic herpes simplex virus to improve CD8+ T cell infiltration and antitumor efficacy in HPV-positive tumors.,False,,4,4,35
42074276,22622496,Measuring urinary periostin and KIM-1 fractional excretion as fibrosis biomarkers to stage chronic kidney disease severity in pediatric patients.,False,,2,1,48
42119409,26141921,"How does aging affect sperm motility, oxidative stress, and seminal microbiota composition in roosters using CASA and flow cytometry?",False,,1,1,76
41710776,27808164,How do I use plant leaf extract to green-synthesize reduced graphene oxide nanosheets and test their antidiabetic and cytotoxic activity in vitro?,True,rank 1 X'=33758735 shared=doi:10.1021/ja01539a017,8,8,34
42450325,26090945,Lipidomic profiling of plasma and liver tissue from MAFLD patients with and without cirrhosis to identify lipid biomarkers distinguishing non-cirrhotic hepatocellular carcinoma using untargeted LC-MS.,False,,2,1,25
42450325,27282822,Lipidomic profiling of plasma and liver tissue from MAFLD patients with and without cirrhosis to identify lipid biomarkers distinguishing non-cirrhotic hepatocellular carcinoma using untargeted LC-MS.,False,,2,1,28
42251035,23703209,How does surrounding sequence context affect DNA glycosylase binding to deaminated cytosine lesions across thousands of sequence variants using high-throughput binding assays?,False,,5,5,30
40219304,30683871,Fabricating a bacterial cellulose-methacrylated chitosan composite hydrogel colorimetric sensor for real-time visual pH monitoring across acidic to basic ranges.,True,rank 3 X'=34450146 shared=doi:10.1080/07388551.2016.1189871,8,7,43
40214223,32770134,How do different dietary fiber structures from natural sources affect human gut microbiota composition and metabolite production using ex vivo fermentation and metabolomics?,True,rank 5 X'=40754387 shared=doi:10.4161/gmic.19897,10,10,67
41424586,29358581,How do MWCNT size and AgNP filler ratios affect the electrical conductivity and EMI shielding of PDMS/PEDOT:PSS conductive polymer composites?,False,,1,1,50
24013952,18523727,Extract backbone dynamics and order parameters from residual dipolar coupling data for a protein using an iterative model-free NMR analysis approach.,True,rank 2 X'=18523727 shared=doi:10.1002/anie.200463040;doi:10.1002/anie.200502573;doi:10.1002/cphc.200700353;doi:10.1002/pro.5560051228,7,7,84
41774679,32012794,Lipidomic and metabolomic profiling by 1H-NMR of blood from long COVID patients compared to acute COVID-19 and healthy controls to identify lipid and metabolite alterations linked to persistent symptoms.,True,rank 2 X'=39154734 shared=doi:10.1016/j.cll.2006.07.006;doi:10.1021/acs.jproteome.8b00411,7,7,187
28093672,17563885,How do different QuEChERS extraction modifications affect pesticide recovery and matrix effects when analyzing multiple pesticide residues in soil using GC-MS/MS and GC-ECD/NPD?,True,rank 4 X'=41334194 shared=doi:10.1016/s0021-9673(02)01610-2,6,6,37
42122682,35320366,Lactoferrin-functionalized PLGA nanoparticles loaded with tamoxifen for targeted drug delivery to glioblastoma cells and overcoming temozolomide resistance.,False,,9,9,61
26369777,24077854,Map disulfide bonds in proteins like beta-lactoglobulin using online LC coupled with electrochemical reduction before high-resolution mass spectrometry in a bottom-up proteomics workflow.,True,rank 2 X'=32319757 shared=doi:10.1002/mas.10025;doi:10.1007/s00216-013-7374-3;doi:10.1021/bi00892a002;doi:10.1021/ja00022a058,3,3,37
42033071,34296318,How does ex vivo DHA and EPA supplementation affect phagocytic activity and oxylipin profiles in primary human macrophages?,True,rank 2 X'=29763660 shared=doi:10.3945/ajcn.112.041343,8,7,40
39409411,27209594,"Measuring fibronectin, laminin-5, and collagen IV in plasma, urine, and tissue from kidney cancer patients using surface plasmon resonance imaging biosensors for tumor staging.",False,,4,1,30
37877727,22709606,Using urine spectrophotometry to detect low rifampin exposure in TB patients as a cheaper alternative to serum drug monitoring.,False,,5,2,22
36985489,25258282,"Methods for detecting mycotoxin contamination in plant-based fish feed ingredients using chromatographic, immunological, or biosensor-based analytical techniques.",False,,6,6,47
42232193,23752469,"Green synthesis of CuO, ZnO, and Co3O4 nanoparticles using watermelon seed extract and evaluation of their antimicrobial and antioxidant activities.",False,,8,8,19
42267142,36144680,"How well do computational tools predict 3D structures of single-stranded DNA oligonucleotides, including G-quadruplexes, compared to experimentally determined structures?",True,rank 4 X'=40610378 shared=doi:10.1038/s41586-021-03819-2;doi:10.1038/s41598-017-01348-5,9,9,46
40220342,29449874,How does drought stress affect triacylglycerol accumulation and lipid remodeling in wild-type versus transgenic high-leaf-oil tobacco plants?,True,rank 4 X'=30547756 shared=doi:10.1104/pp.106.085647,7,7,22
37376218,25514223,Hyaluronic acid-decorated lipid polymer hybrid nanoparticles for CD44-targeted delivery of Cordyceps militaris extract to breast cancer cells evaluated by cellular uptake and cytotoxicity assays.,False,,8,7,30
41515301,25938789,"How can graphene, CNT, or MXene electrochemical sensors detect lead, cadmium, and mercury in contaminated water using voltammetry or colorimetric methods?",True,rank 1 X'=27130095 shared=doi:10.1016/j.trac.2013.01.012;doi:10.3390/bios5020241,10,10,146
35631771,22567549,How does endogenous IAA levels and auxin-related gene expression differ between embryogenic and non-embryogenic callus during somatic embryogenesis induction in tamarillo?,False,,1,1,20
42076105,26604926,How does soaking enteric-coated pellets in different beverages like alkaline mineral water affect premature drug release before reaching the intestine?,False,,8,7,23
40565631,35190742,"Comparing nutritional composition, vitamin content, and antioxidant activity of peels from multiple Cucurbita species to evaluate their potential as functional food ingredients.",True,rank 6 X'=40002041 shared=doi:10.4162/nrp.2012.6.1.21,7,7,21
38668446,30402327,How do salts and wastewater contaminants affect ciprofloxacin adsorption onto green-synthesized copper nanoparticles made from mangosteen extract?,False,,6,6,35
40791300,30079260,Develop a UPLC chromatographic fingerprint combined with single-marker quantification method to evaluate the quality of YiQing granules from multiple manufacturers.,False,,6,5,13
42436108,17452350,"How does the human NatB acetyltransferase complex bind to ribosomes during translation to modify nascent protein N-termini, based on cryo-EM structural analysis?",True,rank 1 X'=37079644 shared=doi:10.1107/s0907444904019158,9,9,28
42123782,17828561,"Synthesizing imidazo[1,2-a]pyridines from 2-aminopyridines and chalcones using iodine with a choline chloride–tartaric acid deep eutectic solvent as a green, metal-free catalytic medium.",False,,6,4,32
42193140,32492406,"How do complement activation, coagulation, and iron metabolism interact at the network level in severe COVID-19 using integrated proteomics and transcriptomics?",True,rank 3 X'=41921044 shared=doi:10.1016/j.cell.2020.05.032,4,3,57
42552994,19129229,Does telomere length measured at first breeding predict lifespan and lifetime reproductive success in wild barn swallows?,True,rank 2 X'=22232671 shared=doi:10.1093/nar/30.10.e47,5,5,4
42554218,30990168,How does low arginine in the tumor microenvironment affect lipid metabolism and PUFA sensitivity in pancreatic cancer cells?,True,rank 2 X'=42518779 shared=doi:10.1016/j.cell.2015.08.012;doi:10.1016/j.cell.2016.09.031,9,8,109
42564775,26785684,"Designing and testing dipeptide-coumarin conjugates as COX-2 inhibitors using molecular docking, SPPS synthesis, and rat paw edema models to assess anti-inflammatory activity.",False,,6,5,264
42258534,29070702,How does human RNA ligase 1 regulate ribosome association and global translation during oxidative stress using polysome profiling and mass spectrometry?,True,rank 3 X'=36603763 shared=doi:10.1038/nbt.1511;doi:10.1038/nprot.2008.211,9,9,79
42310533,24443746,Detecting ovarian cancer protein biomarkers in liquid-based Pap test cervical fluid samples using mass spectrometry-based proteomics to distinguish cancer cases from healthy controls.,False,,6,5,85
30524248,783172,How to prepare and image C. elegans whole nervous system samples using volume electron microscopy to reconstruct synaptic connectivity maps.,True,rank 1 X'=37409324 shared=doi:10.1083/jcb.30.2.424,9,8,43
42198196,24877757,"Optimizing polymer blends like PVP, sodium alginate, and hyaluronic acid for fabricating dissolving microneedle arrays via mold casting to balance mechanical strength and dissolution rate.",True,rank 2 X'=40949858 shared=doi:10.1007/s11095-010-0169-8,7,7,28
40423779,22352995,Molecular dynamics simulation of C. elegans TAX-4 cyclic nucleotide-gated channel to study cGMP-dependent gating conformational changes using cryo-EM open-state structure.,False,,2,2,148
41650025,29079756,Using CSF proteomics and machine learning to classify Alzheimer's patients into molecular subtypes based on disease progression and biomarker profiles.,False,,8,8,29
41522694,25247823,Generate diverse protein conformational states by combining MD trajectory data with free-energy maps in an autoencoder framework to explore poorly sampled regions without running additional simulations.,True,rank 3 X'=40638710 shared=doi:10.1073/pnas.202427399,7,7,115
35563745,9166424,How does extracellular ribosomal RNA synergize with TLR2 agonists like Pam2CSK4 to amplify macrophage inflammatory cytokine production via NF-κB signaling?,False,,4,3,49
40640151,29378131,"How does exciton radiative lifetime change with nanocrystal size in CsPbBr3 perovskite quantum dots, and what role does crystal symmetry play?",True,rank 1 X'=33187409 shared=doi:10.1021/jacs.5b05602;doi:10.1021/jacs.7b02817;doi:10.1021/nl5048779;doi:10.1038/ncomms9056,10,10,71
42402181,32046308,How does intranasal insulin administration affect oxidative stress markers like lipid peroxidation and superoxide dismutase activity across different rat brain regions over time?,False,,5,5,140
35174342,13502425,"How does dietary ferulic acid supplementation affect growth rate, carcass quality, muscle fiber size, and myosin heavy chain gene expression in meat lambs?",False,,7,7,28
41772602,17389646,Overexpressing a transcription factor to boost heterologous protein secretion yields in Aspergillus fungal cell factories using multi-omics and synthetic biology approaches.,False,,3,2,3
40204992,21117055,How can I site-specifically attach multiple payloads like nanobodies or dyes to antibodies in a homogeneous way using ubiquitin-based conjugation chemistry?,False,,5,5,45
42216761,32719532,"How does APE1 search along DNA to find abasic sites, studied using single-molecule fluorescence imaging?",False,,8,8,45
42417395,34056637,Using CRISPR tagging and single-molecule imaging to track how endogenous EWS::FLI1 condensates form and dissolve in living Ewing sarcoma cells.,True,rank 4 X'=40827928 shared=doi:10.1038/nmeth.3256,4,4,29
41591904,24803862,How does pH versus bicarbonate regulate soluble adenylyl cyclase activity in sea urchin and fish sperm compared to mammalian sperm?,False,,6,5,51
42276069,36229504,How do blood-based senescence protein signatures from specific cell types correlate with aging outcomes and disease trajectories in longitudinal human cohort studies?,False,,9,9,24
41944730,29359755,Identify proteins associated with specific genomic loci using oligonucleotide-directed proximity biotinylation coupled with quantitative proteomics in human cells.,False,,9,9,65
