pmid,query,used_in_methods_protocol_ids,hit
26406119,Search query: does the human domesticated transposase gene PGBD5 retain active cut-and-paste DNA transposition activity in human cells?,121687,False
37242601,Identifying new drug candidates against Schistosoma using cheminformatics databases and ex vivo larval and adult worm assays to overcome praziquantel resistance.,122031,False
28009756,Rat auxiliary partial liver transplant model with arterial anastomosis and retrorsine treatment to study recipient cell recruitment into regenerating liver grafts.,121741,True
30940689,Single-tube barcoding method to co-tag long DNA fragments for haplotype phasing and structural variant detection using short-read sequencing in human genome assembly.,122070,True
39237830,Map protein-DNA interactions genome-wide using antibody-tethered methyltransferase and Nanopore long-read sequencing to profile binding in repetitive regions and detect haplotype-specific interactions.,51194|55936,True
29735996,Identify proteins localized at specific genomic loci like telomeres using dCas9-APEX2 proximity labeling and mass spectrometry in living human cells.,122009,True
41676688,How does elevation drive natural selection on group aggregation behavior across globally sampled wild C. elegans strains using GWAS and heritability analysis?,44774,False
36460793,Comparing single-cell versus single-nucleus RNA sequencing cell-type composition differences in matched fresh versus frozen human colon and liver tissue.,22144,False
41457950,Looking for methods to detect or remove heterophilic antibody interference in plasma p-tau217 immunoassays used for Alzheimer's biomarker testing.,259411,True
41053825,Multi-omics analysis of gut microbiome metabolic changes including metabolomics and metatranscriptomics in Parkinson's disease patients versus healthy controls to identify functional microbial alterations.,121607,False
41413855,How does reference population size and linkage disequilibrium pattern affect genomic breeding value prediction accuracy using GBLUP and weighted GBLUP in multi-population beef cattle scenarios?,239360,False
42082551,Track individual NLRP3 inflammasome ASC speck formation and dissolution over time in live macrophages using single-cell imaging to compare dynamics across different triggers.,310914,True
28945705,Metabolic RNA labeling with 4-thiouridine combined with sequencing to measure transcription rates and RNA decay dynamics simultaneously in mouse embryonic stem cells.,116161,False
41652543,How do I sequence and assemble a plant genome from scratch using Oxford Nanopore long-read sequencing as a beginner?,33432|43337,False
34596274,"How should I standardize fasting, cage-changing, and glucose tolerance test protocols in mouse diabetes research to improve reproducibility and animal welfare?",247022,False
28530655,Pooled CRISPR knockout of multiple tumor suppressors in mouse lung cancer models with barcode sequencing to quantify individual tumor growth effects.,121893|121894,False
25665179,Delivering siRNA specifically to osteoblasts using aptamer-functionalized lipid nanoparticles to silence Plekho1 and promote bone formation in osteoporotic rodents.,121611,True
35853087,"Analyze how retracted scientific papers continue to be cited by characterizing citing articles across disciplines, sentiment, and topics using metadata extraction and topic modeling.",45556,False
28394336,Fast open-database search tool for identifying peptide modifications in mass spectrometry proteomics data using fragment-ion indexing to catch post-translational and chemical modifications typically missed.,121866,True
30010754,Chromosome-level reference genome assembly for Betta splendens to study genetic basis of aggression using Hi-C scaffolding and comparative genomics.,12801,True
31873830,Pooling pig skeletal muscle satellite cells from multiple donors to create myoblast cell pools that represent average proliferative and differentiation behavior for long-term in vitro studies.,121278,False
39596330,"How does E. coli RNase H1 bind and cleave R-loops of different RNA-DNA hybrid lengths, and does RNA polymerase protect these structures from degradation?",237311,True
34552577,Screen fungal isolates from a plant microorganism collection for antimycobacterial activity against M. abscessus using a bioluminescence-based medium-throughput assay to find new antibiotic compounds.,50594|50595|50675,False
31077316,Draft de novo genome assembly of Indian peafowl using hybrid Illumina and Oxford Nanopore sequencing to improve scaffold contiguity and repeat resolution.,13216,False
38388166,"Comparing qPCR, culture, and shotgun metagenomics to quantify Klebsiella pneumoniae abundance in turkey versus broiler poultry gut microbiome samples.",28094,True
37829276,Sequencing a complete genome from a single tiny marine worm specimen of a rare nemertodermatid xenacoelomorph using low-input long-read methods for comparative genomics.,18087|239646,False
30268511,How do I optimize mammosphere assay seeding density to avoid cell aggregation when measuring breast cancer stem cell frequency in MCF-7 cells?,121476,True
40872802,Newly isolated lytic phage active against multidrug-resistant Pseudomonas aeruginosa strains characterized genomically and tested in Galleria mellonella infection model for phage therapy applications.,1744,False
35438621,How to extract high molecular weight DNA from filamentous fungi for long-read third-generation sequencing to get complete genome assemblies?,12875|38624|54341,True
28607482,"How are primordial germ cells specified in pig embryos compared to humans, focusing on SOX17, BLIMP1, WNT, and BMP signaling during gastrulation?",121900,True
29641611,Comparing cost-effectiveness of oyster reef and wetland restoration versus seawalls for reducing coastal flood risk along the US Gulf Coast under climate change scenarios.,9528,True
30625152,Genome-scale metabolic model with protein structures for Staphylococcus aureus USA300 to predict gene essentiality and metabolic responses under different growth conditions.,13137,False
36329019,Convert arbitrary fluorescence units from microplate reader measurements into absolute protein concentrations per bacterial cell using fluorescent protein calibrants without requiring protein purification.,54885,False
42007381,Intratracheal LPS mouse model of acute lung injury histopathology in aged C57BL/6J mice to study ARDS pathogenesis in elderly.,239679,True
40163522,How does climate variability influence reproductive isolation and hybridization dynamics between Mimulus guttatus and Mimulus nasutus in natural admixed populations using whole-genome sequencing?,37534,True
35711922,Identify extrachromosomal circular DNA including oncogene amplifications from nanopore long-read sequencing data using a graph-based bioinformatics pipeline in human cancer cells.,122089,False
30052755,Show me an R tool for visualizing and comparing quality control metrics across multiple Oxford Nanopore MinION flowcell sequencing runs.,6285,False
