p_pmid,x_pmid,query,precedence_hit,detail,papers_returned,papers_traceable,x_imm_size
41328192,37007617,"How do I quantify PE, PP, and polystyrene microplastics in soil samples by pyrolysis-GC/MS with reliable detection limits and recovery rates?",False,,5,5,4
42139284,34840962,Portable device for running colorimetric LAMP reactions simultaneously in paper microfluidic devices and tubes with real-time image-based quantification and isothermal temperature control.,True,rank 1 X'=35260588 shared=doi:10.1038/s41587-020-0513-4;doi:10.2144/000114253,5,5,6
40808208,38313694,"How does mild NaOH treatment affect the structure, thermal stability, and morphology of zein-chitosan composite films characterized by FTIR, TGA, DSC, and SEM?",True,rank 1 X'=41471005 shared=doi:10.1016/j.carbpol.2010.01.037,2,2,20
41536860,32995313,"Nutrient composition analysis of commonly consumed East African coastal marine fish species for micronutrients, fatty acids, and macronutrients across different preparation methods and size categories.",False,,4,3,25
29070510,29062719,"How do FMO gene knockout, mouse strain, and sex affect TMAO levels, plasma cholesterol, and atherosclerosis markers in mice?",True,rank 1 X'=32392758 shared=doi:10.1002/jbt.2570100308;doi:10.1016/0026-0495(92)90140-6;doi:10.1038/nature09922;doi:10.1093/ndt/gfk056,5,5,29
41263243,36824995,Detecting microplastics in water samples by combining Nile Red fluorescence staining with Raman spectroscopy using a single integrated instrument for faster polymer identification.,True,rank 2 X'=40026591 shared=doi:10.1016/j.envpol.2019.113283;doi:10.1016/j.jhazmat.2021.127171;doi:10.1016/j.marpolbul.2016.10.049;doi:10.1016/j.scitotenv.2019.07.060,4,3,23
41991686,33364623,How do senescent macrophages expressing p21 and TREM2 contribute to liver inflammation and steatosis in aging and metabolic liver disease models?,False,,4,4,7
42310461,35931778,Map protein expression levels across dozens of human tissues and tumor types using DIA mass spectrometry to identify cancer-specific biomarkers and potential drug targets.,True,rank 1 X'=40425563 shared=doi:10.1038/nm.3807,5,4,40
39878654,35496782,How do neurons molecularly adapt to copper deficiency through mTORC1 signaling and protein synthesis changes in genetic models of Menkes disease?,False,,3,1,15
42519393,30933724,Combining an mRNA HPV16 E6/E7 vaccine with oncolytic herpes simplex virus to improve CD8+ T cell infiltration and antitumor efficacy in HPV-positive tumors.,False,,4,4,35
42074276,22622496,Measuring urinary periostin and KIM-1 fractional excretion as fibrosis biomarkers to stage chronic kidney disease severity in pediatric patients.,False,,2,1,48
42119409,26141921,"How does aging affect sperm motility, oxidative stress, and seminal microbiota composition in roosters using CASA and flow cytometry?",False,,1,1,76
41710776,27808164,How do I use plant leaf extract to green-synthesize reduced graphene oxide nanosheets and test their antidiabetic and cytotoxic activity in vitro?,False,,3,3,34
42450325,26090945,Lipidomic profiling of plasma and liver tissue from MAFLD patients with and without cirrhosis to identify lipid biomarkers distinguishing non-cirrhotic hepatocellular carcinoma using untargeted LC-MS.,False,,2,1,25
42450325,27282822,Lipidomic profiling of plasma and liver tissue from MAFLD patients with and without cirrhosis to identify lipid biomarkers distinguishing non-cirrhotic hepatocellular carcinoma using untargeted LC-MS.,False,,2,1,28
42251035,23703209,How does surrounding sequence context affect DNA glycosylase binding to deaminated cytosine lesions across thousands of sequence variants using high-throughput binding assays?,False,,3,3,30
40219304,30683871,Fabricating a bacterial cellulose-methacrylated chitosan composite hydrogel colorimetric sensor for real-time visual pH monitoring across acidic to basic ranges.,False,,4,3,43
40214223,32770134,How do different dietary fiber structures from natural sources affect human gut microbiota composition and metabolite production using ex vivo fermentation and metabolomics?,False,,5,5,67
41424586,29358581,How do MWCNT size and AgNP filler ratios affect the electrical conductivity and EMI shielding of PDMS/PEDOT:PSS conductive polymer composites?,False,,1,1,50
24013952,18523727,Extract backbone dynamics and order parameters from residual dipolar coupling data for a protein using an iterative model-free NMR analysis approach.,True,rank 2 X'=42301231 shared=doi:10.1021/cr030413t,5,5,84
