pmid,target_protocol_ids,queries_issued,candidate_urls,is_hit,hit_rank
26406119,121687,"[""PGBD5 human domesticated transposase cut-and-paste DNA transposition activity protocols.io"", ""PGBD5 transposase activity human cells protocol site:protocols.io"", ""PGBD5 transposition protocol DNA transposase human cells protocols.io"", ""PGBD5 piggyBac transposition assay HEK293 protocol site:protocols.io""]",[],False,
37242601,122031,"[""protocols.io Schistosoma drug discovery praziquantel resistance ex vivo worm assay"", ""protocols.io schistosomiasis anthelmintic screening larval adult worm cheminformatics"", ""protocols.io Schistosoma mansoni schistosomula adult worm drug screening protocol"", ""protocols.io cheminformatics virtual screening neglected tropical disease helminth"", ""protocols.io site:protocols.io schistosoma worm assay anthelmintic drug screening virtual screening""]","[""https://www.protocols.io/view/ex-vivo-schistosoma-mansoni-adult-worm-drug-screen-n2bvj6n5blk5/v1"", ""https://www.protocols.io/view/schistosoma-mansoni-newly-transformed-schistosomul-261ge34x8v47/v1"", ""https://www.protocols.io/view/in-vitro-drug-screening-assay-for-schistosoma-mans-bp2l6x3e"", ""https://www.protocols.io/view/high-throughput-phenotypic-screening-of-schistosom-8epv5xn6dg1b/v1"", ""https://www.protocols.io/view/virtual-screening-cheminformatics-pipeline-neglect-kxygxpy6og8j/v1"", ""https://www.protocols.io/view/schistosoma-mansoni-cercariae-transformation-schis-dm6gp3n6/v1"", ""https://www.protocols.io/view/docking-based-virtual-screening-schistosoma-kinase-j8nlk4jy6l5r/v1"", ""https://www.protocols.io/view/luminescence-atp-based-viability-assay-schistosomi-6qpvr5pn6gmk/v1"", ""https://www.protocols.io/view/schistosoma-mansoni-workspace-anthelmintic-drug-di-dtm6649"", ""https://www.protocols.io/workspaces/schistosoma-mansoni""]",False,
28009756,121741,"[""protocols.io rat auxiliary partial liver transplant arterial anastomosis retrorsine"", ""protocols.io auxiliary partial orthotopic liver transplantation rat model retrorsine recipient cell recruitment"", ""protocols.io auxiliary partial liver transplantation rat arterial anastomosis recipient cell regeneration protocol"", ""protocols.io retrorsine liver transplant rat regeneration recipient hepatocyte recruitment""]","[""https://www.protocols.io/view/surgical-model-of-auxiliary-partial-liver-transpla-3byl4w4wrvo5/v1"", ""https://www.protocols.io/view/rat-auxiliary-partial-orthotopic-liver-transplanta-bp2l6bz6zgqe"", ""https://www.protocols.io/view/retrorsine-pretreatment-protocol-for-rat-liver-tra-bwyppfmn"", ""https://www.protocols.io/view/rat-reduced-size-liver-transplantation-with-arteri-6qpvr4n4pvmk"", ""https://www.protocols.io/view/heterotopic-auxiliary-liver-transplantation-in-rat-n2bvj6n6"", ""https://www.protocols.io/view/auxiliary-partial-liver-transplantation-rat-model-8epv5xn8"", ""https://www.protocols.io/view/rat-liver-transplantation-with-hepatic-artery-reco-kxygxpy6"", ""https://www.protocols.io/view/retrorsine-treatment-and-partial-hepatectomy-for-l-6qpvr5j5pvmk"", ""https://www.protocols.io/view/rat-orthotopic-liver-transplantation-with-arterial-yxmvxk56"", ""https://www.protocols.io/view/recipient-cell-tracking-in-regenerating-liver-graf-b4k6qyw6""]",True,1
30940689,122070,"[""protocols.io single-tube barcoding long DNA fragments haplotype phasing structural variant short-read sequencing"", ""protocols.io linked-read co-barcoding long DNA human genome assembly haplotype phasing"", ""protocols.io stLFR TELL-Seq single-tube linked-read library protocol human genome"", ""protocols.io stLFR TELL-Seq co-barcoding genome assembly site:protocols.io""]","[""https://www.protocols.io/view/stlfr-library-preparation-protocol-single-tube-lon-bp2l6xyrge5e"", ""https://www.protocols.io/view/tell-seq-wgs-library-preparation-bvt8n6rw"", ""https://www.protocols.io/view/single-tube-long-fragment-read-stlfr-library-prepa-xpxfmpn"", ""https://www.protocols.io/view/tell-seq-targeted-phasing-library-preparation-prot-c3bygnw6"", ""https://www.protocols.io/view/stlfr-co-barcoding-library-construction-for-human-n2bvj6n6"", ""https://www.protocols.io/view/linked-read-library-preparation-for-haplotype-phas-kxygx"", ""https://www.protocols.io/view/tell-seq-library-preparation-for-de-novo-genome-as-bttjnnkn"", ""https://www.protocols.io/view/stlfr-single-tube-long-fragment-read-library-prepa-yxmvxm6"", ""https://www.protocols.io/view/co-barcoding-linked-read-sequencing-structural-var-rm7vzy86"", ""https://www.protocols.io/view/barcode-linked-reads-blr-library-preparation-hapl\u043e-6qpvr4n""]",False,
39237830,51194|55936,"[""protocols.io antibody-tethered methyltransferase nanopore sequencing protein-DNA interactions"", ""protocols.io DamID methyltransferase nanopore long-read sequencing haplotype-specific"", ""protocols.io ChIC CUT&Tag methyltransferase Oxford Nanopore genome-wide protein binding"", ""protocols.io DiMeLo-seq pA-Hia5 methyltransferase nanopore sequencing protocol site:protocols.io""]","[""https://www.protocols.io/view/dimelo-seq-directed-methylation-with-long-read-seq-b2u8qezw"", ""https://www.protocols.io/view/dimelo-seq-directed-methylation-with-long-read-seq-bv8tn9wn"", ""https://www.protocols.io/view/dimelo-seq-directed-methylation-with-long-read-seq-n2bvjxe4wlk5/v2/materials"", ""https://www.protocols.io/view/pa-hia5-protein-expression-and-purification-bv82n9ye"", ""https://www.protocols.io/view/purification-and-activity-testing-for-nanobody-hia-g3iibykcf.html"", ""https://www.protocols.io/view/cas9-enrichment-for-dimelo-sequencing-c6akzacw"", ""https://www.protocols.io/view/protocol-of-dna-extraction-for-nanopore-long-reads-bzbdp2i6"", ""https://www.protocols.io/view/bench-top-cut-amp-tag-bcuhiwt6"", ""https://www.protocols.io/view/bench-top-cut-amp-tag-kqdg34qdpl25/v1/article"", ""https://www.protocols.io/view/autocut-amp-tag-streamlined-genome-wide-profiling-bgztjx6n""]",True,1
29735996,122009,"[""dCas9-APEX2 proximity labeling telomere proteomics mass spectrometry protocol site:protocols.io"", ""protocols.io dCas9 APEX2 genomic locus proximity labeling living cells"", ""protocols.io C-BERST dCas9-APEX2 telomere chromatin proteomics protocol"", ""protocols.io GLoPro CasPEX dCas9 APEX2 genomic locus proteomics""]","[""https://www.protocols.io/view/mapping-subnuclear-proteomes-onto-genome-architecture-via-c-berst-81wgbreeolpk/v1"", ""https://www.protocols.io/view/c-berst-dcas9-apex2-biotinylation-at-genomic-elements-subnuclear-proteomics-rm7vzy86rlx1/v1"", ""https://www.protocols.io/view/dcas9-apex2-proximity-labeling-for-locus-specific-chromatin-proteomics-telomere-bp6uyrdw/v1"", ""https://www.protocols.io/view/apex2-based-proximity-biotinylation-of-nlrp3-and-p-5qpvok55zl4o/v1"", ""https://www.protocols.io/view/apex2-labelling-and-screening-for-biotinylated-pro-dm6gpj8qjgzp/v1"", ""https://www.protocols.io/view/apex2-labelling-and-screening-for-biotinylated-pro-cgnmtvc6"", ""https://www.protocols.io/view/crispr-cas9-apex-mediated-proximity-labeling-glop-bpkcmkcw/v1"", ""https://www.protocols.io/view/proximity-labeling-using-apex2-for-mass-spectrometry-based-proteomics-in-human-cells-q26g7yre/v1"", ""https://www.protocols.io/view/streptavidin-pulldown-of-apex2-biotinylated-proteins-for-lc-ms-ms-proteomics-bp3njqne/v1"", ""https://www.protocols.io/view/axonal-proteome-analysis-and-western-blot-via-apex-n2bvjb79bgk5/v1""]",False,
41676688,44774,"[""protocols.io C. elegans wild strains GWAS heritability aggregation behavior elevation natural selection"", ""protocols.io C. elegans bordering clumping aggregation GWAS heritability global strains"", ""protocols.io \""C. elegans\"" aggregation behavior wild strains GWAS heritability elevation"", ""protocols.io \""collective behavior\"" OR \""aggregation\"" \""C. elegans\"" wild strains natural selection site:protocols.io""]","[""https://www.protocols.io/view/c-elegans-aggregation-behavior-assay-wild-strains-natural-selection-elevation-gwas"", ""https://www.protocols.io/view/c-elegans-collective-behavior-aggregation-assay-global-strains"", ""https://www.protocols.io/view/c-elegans-bordering-aggregation-behavior-quantification"", ""https://www.protocols.io/view/c-elegans-gwas-heritability-behavioral-traits-wild-isolates"", ""https://www.protocols.io/view/c-elegans-aggregation-behavior-scoring-natural-variation"", ""https://www.protocols.io/view/c-elegans-wild-strain-aggregation-clumping-assay"", ""https://www.protocols.io/view/c-elegans-natural-variation-behavior-heritability"", ""https://www.protocols.io/view/caenorhabditis-elegans-foraging-aggregation-behavioral-assay"", ""https://www.protocols.io/view/genome-wide-association-study-c-elegans-behavior"", ""https://www.protocols.io/view/c-elegans-population-behavior-assay-food-patch-aggregation""]",False,
36460793,22144,"[""protocols.io single-cell single-nucleus RNA sequencing fresh frozen human colon liver tissue"", ""protocols.io scRNA-seq snRNA-seq matched fresh frozen colon liver cell-type composition"", ""protocols.io single cell dissociation fresh human colon liver tissue scRNA-seq 10x Genomics"", ""protocols.io snRNA-seq nuclei isolation frozen human colon liver tissue comparison""]","[""https://www.protocols.io/view/nuclei-isolation-from-fresh-frozen-human-colon-tis-5jyl8pn17g2w/v1"", ""https://www.protocols.io/view/primary-human-liver-dissociation-for-scseq-nkjdcun"", ""https://www.protocols.io/view/human-liver-core-needle-biopsy-processing-protocol-chymt7u6"", ""https://www.protocols.io/view/frankenstein-protocol-for-nuclei-isolation-from-fr-3fkgjkw"", ""https://www.protocols.io/view/39-frankenstein-protocol-for-nuclei-isolation-fro-dm6gpwzqplzp/v2"", ""https://www.protocols.io/view/frankenstein-protocol-for-nuclei-isolation-from-fr-yxmvmkem6g3p/v1"", ""https://www.protocols.io/view/protocol-for-nuclei-isolation-from-fresh-and-froze-bdeai3ae"", ""https://www.protocols.io/view/protocol-for-nuclei-isolation-from-fresh-and-froze-bdeni3de/guidelines"", ""https://www.protocols.io/view/nuclei-extraction-for-single-cell-rnaseq-from-froz-q26g74xzqgwz/v1"", ""https://www.protocols.io/view/isolation-of-nuclei-from-frozen-tissue-for-snmulti-6uchesw""]",False,
41457950,259411,"[""protocols.io heterophilic antibody interference plasma p-tau217 immunoassay Alzheimer"", ""protocols.io heterophilic antibody blocking p-tau217 plasma immunoassay interference removal"", ""protocols.io heterophilic antibody blocking immunoassay interference plasma biomarker"", ""protocols.io p-tau217 plasma sample preparation interference removal protocol""]",[],False,
41053825,121607,"[""protocols.io gut microbiome metabolomics metatranscriptomics Parkinson's disease"", ""protocols.io multi-omics gut microbiome metabolic analysis Parkinson's disease healthy controls"", ""protocols.io metatranscriptomics metabolomics microbiome functional analysis protocol"", ""protocols.io metatranscriptomics metabolomics gut microbiome Parkinson's disease fecal sample protocol site:protocols.io""]","[""https://www.protocols.io/view/metagenomics-of-parkinson-s-disease-implicates-the-kww2bixhp"", ""https://www.protocols.io/view/protocol-for-whole-shotgun-metagenomics-pipeline-f-5qpvo9ox7v4o/v1"", ""https://www.protocols.io/view/integrated-multi-omics-gut-microbiome-parkinson-s-disease-metatranscriptomics-metabolomics"", ""https://www.protocols.io/view/human-gut-microbiome-gene-co-expression-metatranscriptomics-parkinson"", ""https://www.protocols.io/view/gut-microbiome-metabolomics-parkinson-disease-multi-omics"", ""https://www.protocols.io/view/fecal-rna-extraction-metatranscriptomics-gut-microbiome"", ""https://www.protocols.io/view/untargeted-metabolomics-fecal-samples-gut-microbiome-lc-ms"", ""https://www.protocols.io/view/humann3-metaphlan3-functional-profiling-gut-microbiome"", ""https://www.protocols.io/view/multi-omics-integration-microbiome-metabolomics-metatranscriptomics"", ""https://www.protocols.io/workspaces/metabolomics-protocols-workflows""]",False,
