pmid,citing_title,protocol_title,hit
26406119,Genomic DNA transposition induced by human PGBD5,Transposon mapping using flanking sequence exponential anchored (FLEA) PCR,False
37242601,Using ChEMBL to Complement Schistosome Drug Discovery,Creating a screening set of potential anthelmintic compounds using ChEMBL,False
28009756,Regeneration and Cell Recruitment in an Improved Heterotopic Auxiliary Partial Liver Transplantation (APLT) Model in the Rat,Surgical Model of Auxiliary Partial Liver Transplantation in the Rat,True
30940689,"Efficient and unique cobarcoding of second-generation sequencing reads from long DNA molecules enabling cost-effective and accurate sequencing, haplotyping, and de novo assembly",A simple bead-based method for generating cost-effective co-barcoded sequence reads,True
39237830,Mapping protein–DNA interactions with DiMeLo-seq,pA-Hia5 Protein Expression and Purification; DiMeLo-seq: Directed Methylation with Long-read sequencing,True
29735996,C-BERST: Defining subnuclear proteomic landscapes at genomic elements with dCas9-APEX2,Mapping subnuclear proteomes onto genome architecture via C-BERST,True
41676688,Evidence for natural selection shaping the evolution of collective behavior among global Caenorhabditis elegans populations,Making low peptone NGM for imaging plates,False
36460793,Comparison of cell type distribution between single-cell and single-nucleus RNA sequencing: enrichment of adherent cell types in single-nucleus RNA sequencing,Single-nucleus isolation from frozen human lung tissue for single-nucleus RNA-seq,False
41457950,False positive plasma p‐tau217 results associated with heterophilic antibody interference: A potential clinical pitfall,Interference in ELISA,True
41053825,Integrated multi-omics highlights alterations of gut microbiome functions in prodromal and idiopathic Parkinson’s disease,"The sequential isolation of metabolites, RNA, DNA, and proteins from a single, undivided mixed microbial community sample",False
41413855,Comparison of GBLUP and WGBLUP in genomic selection for beef cattle under different LD patterns and mixed multi-population scenarios: a simulation study,Genomic Best Linear Unbiased Prediction (gBLUP) for the Estimation of Genomic Breeding Values,False
42082551,Time-lapse image analysis reveals trigger-dependent differences in ASC speck lifetime in the NLRP3 inflammasome,ASC Speck Formation as a Readout for Inflammasome Activation,True
28945705,Thiol-linked alkylation of RNA to assess expression dynamics,Thiol-linked alkylation for the metabolic sequencing of RNA (SLAMseq),False
41652543,Cookbook for plant genome sequences,Plant DNA extraction and preparation for ONT sequencing; Scalable high-molecular weight DNA extraction for long-read sequencing,False
34596274,The use of mice in diabetes research: The impact of experimental protocols,The Glucose Tolerance Test in Mice,False
28530655,A quantitative and multiplexed approach to uncover the fitness landscape of tumor suppression in vivo,Barcoding lentiviral Cre vectors for use in experiments involving downstream Tuba-seq analysis.; Genomic DNA Isolation from Tissue Samples and Library Prep for Tuba-Seq Barcode Analysis,False
25665179,Aptamer-functionalized lipid nanoparticles targeting osteoblasts as a novel RNA interference–based bone anabolic strategy,Preparation of aptamer-functionalized lipid nanoparticles (LNPs) encapsulating siRNAs,True
35853087,"A protocol to gather, characterize and analyze incoming citations of retracted articles",A methodology for gathering and annotating the raw-data/characteristics of the documents citing a retracted article,False
28394336,MSFragger: ultrafast and comprehensive peptide identification in shotgun proteomics,Using MSFragger for ultrafast database searching,True
30010754,"Chromosome-level reference genome of the Siamese fighting fish Betta splendens, a model species for the study of aggression",An analytical pipeline of assembly and annotation of the Betta splendens genome.,True
31873830,Establishment and validation of cell pools using primary muscle cells derived from satellite cells of pig skeletal muscle,Approaches to isolate porcine skeletal muscle stem and progenitor cells,False
39596330,Kinetic Features of Degradation of R-Loops by RNase H1 from Escherichia coli,"RNase H1, the Gold Standard for R-Loop Detection",True
34552577,Screening of Fungi for Antimycobacterial Activity Using a Medium-Throughput Bioluminescence-Based Assay,Bioluminescence-based Minimum Inhibitory Concentration (MIC) testing of fungal extracts against Mycobacterium marinum; Bioluminescence-based 24 well plate assay for screening fungi for activity against Mycobacterium marinum; Bioluminescence-based 24 well plate assay for screening fungi for activity against Mycobacterium abscessus,False
31077316,De novo assembly of the Indian blue peacock (Pavo cristatus) genome using Oxford Nanopore technology and Illumina sequencing,Hiseq 4000 Sequencing protocol,False
38388166,Detection of Klebsiella pneumoniae in healthy poultry: Insights and perspectives from culturing and metagenomics,Detection of Klebsiella pneumoniae and closely related species by real-time PCR with the ZKIR system,True
37829276,The draft genome of the microscopic Nemertoderma westbladi sheds light on the evolution of Acoelomorpha genomes,DNA extraction (Salting out); BUSCO: Assessing Genome Assembly and Annotation Completeness,False
30268511,Single-Cell Tracking of Breast Cancer Cells Enables Prediction of Sphere Formation from Early Cell Divisions,Tumorsphere Passage for Breast Cancer Stem Cells,True
40872802,Pseudomonas Phage Banzai: Genomic and Functional Analysis of Novel Pbunavirus with Lytic Activity Against Pseudomonas aeruginosa,Isolation and life cycle characterization of lytic viruses infecting heterotrophic bacteria and cyanobacteria,False
35438621,High molecular weight DNA extraction methods lead to high quality filamentous ascomycete fungal genome assemblies using Oxford Nanopore sequencing,Large Volume Fungal Genomic DNA Extraction Protocol for PacBio; Fungal CTAB DNA Extraction ; Protocol of DNA extraction for Nanopore long-reads genome sequencing,True
36381955,Diagnostic accuracy of pelvic imaging for acute pelvic inflammatory disease in an emergency care setting: a systematic review and meta‐analysis,Diagnostic accuracy of pelvic imaging for acute pelvic inflammatory disease: protocol for a systematic review and meta-analysis,True
28607482,Principles of early human development and germ cell program from conserved model systems,Simulating gastrulation development and germ cell fate in vitro using human and monkey pluripotent stem cells,True
29641611,Comparing the cost effectiveness of nature-based and coastal adaptation: A case study from the Gulf Coast of the United States,Assessing Coastal Risk and the Economics of Climate Adaptation,True
30127506,Reduced MEK inhibition preserves genomic stability in naïve human ES cells,Reduced MEK inhibition preserves genomic stability in naïve human ES cells,False
30625152,A computational knowledge-base elucidates the response of Staphylococcus aureus to different media types,Reciprocal Best Hit BLAST,False
36329019,Absolute protein quantification using fluorescence measurements with FPCountR,FPCount protocol - in-lysate (purification free) protocol,False
42007381,Endotoxin-induced acute lung injury in old C57BL/6J mice is a translationally relevant geroscience model,Mouse Models of Acute Lung Injury and ARDS,True
40163522,Fluctuating reproductive isolation and stable ancestry structure in a fine-scaled mosaic of hybridizing Mimulus monkeyflowers,96-well CTAB-chloroform DNA extraction,True
